pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
blast_100.0	-0.0882424955392	0.0918620717072	0.119238855522	-0.00362656316119	0.00438248257879	0.0087786564075	-0.00531849715136	-9.13703604399e-06	0.000305368338989	-0.00153462028123	0.000425943511969	-0.000210767281143	8.69973899192e-06	8.77994074685e-05	0.000166883140273	-0.000420098638996	0.000232216409066	0.000434045404573	-0.000313519451668	9.85107621126e-05	-6.67002001858e-05	-5.72275957533e-05	-5.99171762984e-06	-2.44108049097e-06	-3.6442757372e-08	-5.32642502477e-09	0.0	-0	-0	-4.51296322839e-09
blast_0.0001	-0.0882424955392	0.0918620717072	0.119238855522	-0.00362656316119	0.00438248257879	0.0087786564075	-0.00531849715136	-9.13703604394e-06	0.000305368338989	-0.00153462028123	0.000425943511969	-0.000210767281143	8.69973899132e-06	8.77994074679e-05	0.000166883140272	-0.000420098638991	0.000232216409066	0.000434045404575	-0.000313519451669	9.85107621164e-05	-6.67002001835e-05	-5.72275957478e-05	-5.99171763697e-06	-2.44108048519e-06	-3.644247234e-08	5.73204473382e-09	-9.2469196799e-09	-1.13458255861e-09	-2.27878644605e-10	1.70511754483e-10
blast_1e-06	-0.0882424955392	0.0918620717072	0.119238855522	-0.00362656316119	0.00438248257879	0.0087786564075	-0.00531849715136	-9.13703604378e-06	0.00030536833899	-0.00153462028122	0.000425943511969	-0.000210767281144	8.69973899167e-06	8.77994074694e-05	0.000166883140272	-0.000420098638994	0.000232216409067	0.000434045404574	-0.000313519451667	9.85107621143e-05	-6.6700200179e-05	-5.72275957503e-05	-5.99171762154e-06	-2.4410805032e-06	-3.64428785776e-08	-2.6970342804e-09	-8.85362753047e-10	4.9262304209e-09	1.18539426967e-10	1.49279274496e-09
blast_1.0	-0.0882424955392	0.0918620717072	0.119238855522	-0.00362656316119	0.00438248257879	0.0087786564075	-0.00531849715136	-9.13703604394e-06	0.000305368338989	-0.00153462028122	0.000425943511969	-0.000210767281144	8.69973899167e-06	8.77994074685e-05	0.000166883140273	-0.000420098638993	0.000232216409067	0.000434045404576	-0.000313519451666	9.8510762113e-05	-6.67002001819e-05	-5.72275957474e-05	-5.99171763559e-06	-2.44108049039e-06	-3.64426333134e-08	-4.24072673968e-09	2.28912219603e-09	-1.91090843735e-09	-3.85792261353e-09	1.73495386245e-09
blast_1e-10	-0.0882424955392	0.0918620717072	0.119238855522	-0.00362656316119	0.00438248257879	0.0087786564075	-0.00531849715136	-9.13703604394e-06	0.000305368338989	-0.00153462028123	0.000425943511969	-0.000210767281143	8.69973899179e-06	8.77994074686e-05	0.000166883140273	-0.000420098638994	0.000232216409066	0.000434045404575	-0.000313519451668	9.85107621139e-05	-6.67002001832e-05	-5.72275957512e-05	-5.99171762861e-06	-2.44108049176e-06	-3.64426412434e-08	-4.15369829963e-09	1.58275191546e-09	-2.14180049479e-09	3.84971581125e-09	1.72130159371e-09
blast_1e-30	-0.0881004209463	0.0920239210182	0.119793594735	-0.00391966098032	0.00454503640727	0.00852525140114	-0.00582416288062	0.000195305260433	0.000300722318075	-0.00161725062964	0.000260592773509	0.000486997503936	-0.000708703320894	-0.000696030249588	-0.000840532459577	0.00205947808338	-0.00120402222999	-0.00215183765311	0.00154891902857	-0.000516082238947	0.000333550044167	0.000284825598596	2.96871455866e-05	1.23833801858e-05	1.80341447036e-07	-2.13716792149e-09	-1.25208166341e-09	-5.22122136814e-11	-2.35092039538e-11	1.21319345334e-10
mothur_0.0	-0.0881388309031	-0.0109963071325	-0.0582425068356	0.0817283905395	-0.00905096014231	-0.0143972843167	-0.00844153000387	-0.00036770393701	0.0039209719586	-0.00643188791387	0.000821118255717	-0.00138915125674	-0.000903599634451	-0.000755082831764	-3.88582419592e-05	0.000267453608337	0.00136790592946	-0.000784561609959	-3.28366123381e-05	0.000829947757545	-2.2159628664e-05	-0.000132590278715	6.37874069337e-06	0.000112785748785	-2.34455732329e-05	-2.13716797555e-09	-1.25208175134e-09	-5.22122457008e-11	-2.35092071539e-11	1.21319355665e-10
mothur_0.1	-0.087028548548	-0.0123333637417	-0.0591106004734	0.0806117773346	-0.00947090865319	-0.0122876805465	-0.00713950032062	-0.000456227062393	0.00306777215906	-0.00495645194142	0.000602664845544	-0.00163050071943	-0.00107496040163	-0.000421071997215	-0.000121898811223	-6.78620489999e-05	0.000217597012477	0.000107299418336	0.000185390297439	-0.000113940623571	0.000376459574453	0.000112942686103	-0.000205929063926	-0.000267633250591	-1.24586672439e-06	-2.13716792479e-09	-1.25208166879e-09	-5.22122156635e-11	-2.35092041228e-11	1.21319345935e-10
mothur_0.2	-0.0771188557092	-0.0177704687396	-0.0598619481186	0.0744289396036	-0.00866874180975	-0.00173145708445	-0.000500081112573	0.000437342112403	0.00102389346563	-0.00010675028941	-0.00115690965419	-0.00230789957272	4.57098743972e-05	0.001156374651	0.000633359062556	0.000302689275239	-0.00111680214898	0.00065570911111	-6.54007912566e-05	-0.00122476978924	0.000698469185328	-0.000860264298075	0.00010251362731	2.38185297758e-05	6.77178763786e-07	-2.13716792012e-09	-1.25208166147e-09	-5.22122130278e-11	-2.35092039057e-11	1.21319345113e-10
mothur_0.3	-0.0498535141696	-0.0280595991538	-0.056616635145	0.0566256354823	-0.00560421849133	0.0248284924509	0.0166499105184	0.000410750868276	-0.00453192430771	0.0126866548764	-0.00694682898028	0.000814879828318	0.00707675773965	-0.00491029504305	-0.00513938635767	0.000890158037603	-0.000103985345727	0.000162431252222	-0.000636851357167	0.000526817483107	3.41047992683e-05	-1.44095180778e-05	1.04238889987e-06	-1.45240685973e-05	1.67366410794e-08	-2.13716792193e-09	-1.25208166405e-09	-5.22122139051e-11	-2.35092039771e-11	1.21319345411e-10
