	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
blast_100.0	0.0	0.0	0.0	0.0	0.0	0.000994366104095	0.221477293193	0.222560441986	0.224478148044	0.225728715619	0.229761986297	0.266741244125	0.268760416112	0.270218988841	0.272811443328	0.286126309862	0.598446049297	0.221484903138	0.222613711598	0.224617663696	0.225414171239	0.229977601396	0.231639105984	0.268757879463	0.270196159007	0.272897689367	0.288094748885	0.529132136543	0.0736109948478	0.493922250129
blast_0.0001	0.0	0.0	0.0	0.0	0.0	0.000994366104095	0.221477293193	0.222560441986	0.224478148044	0.225728715619	0.229761986297	0.266741244125	0.268760416112	0.270218988841	0.272811443328	0.286126309862	0.598446049297	0.221484903138	0.222613711598	0.224617663696	0.225414171239	0.229977601396	0.231639105984	0.268757879463	0.270196159007	0.272897689367	0.288094748885	0.529132136543	0.0736109948478	0.493922250129
blast_1e-06	0.0	0.0	0.0	0.0	0.0	0.000994366104095	0.221477293193	0.222560441986	0.224478148044	0.225728715619	0.229761986297	0.266741244125	0.268760416112	0.270218988841	0.272811443328	0.286126309862	0.598446049297	0.221484903138	0.222613711598	0.224617663696	0.225414171239	0.229977601396	0.231639105984	0.268757879463	0.270196159007	0.272897689367	0.288094748885	0.529132136543	0.0736109948478	0.493922250129
blast_1.0	0.0	0.0	0.0	0.0	0.0	0.000994366104095	0.221477293193	0.222560441986	0.224478148044	0.225728715619	0.229761986297	0.266741244125	0.268760416112	0.270218988841	0.272811443328	0.286126309862	0.598446049297	0.221484903138	0.222613711598	0.224617663696	0.225414171239	0.229977601396	0.231639105984	0.268757879463	0.270196159007	0.272897689367	0.288094748885	0.529132136543	0.0736109948478	0.493922250129
blast_1e-10	0.0	0.0	0.0	0.0	0.0	0.000994366104095	0.221477293193	0.222560441986	0.224478148044	0.225728715619	0.229761986297	0.266741244125	0.268760416112	0.270218988841	0.272811443328	0.286126309862	0.598446049297	0.221484903138	0.222613711598	0.224617663696	0.225414171239	0.229977601396	0.231639105984	0.268757879463	0.270196159007	0.272897689367	0.288094748885	0.529132136543	0.0736109948478	0.493922250129
blast_1e-30	0.000994366104095	0.000994366104095	0.000994366104095	0.000994366104095	0.000994366104095	0.0	0.222124138491	0.223207287283	0.225124993341	0.226375560916	0.230353025333	0.267096374876	0.269029300824	0.27047772696	0.273057498206	0.286359681499	0.598446049297	0.222131748435	0.223260556896	0.225264508993	0.226061016536	0.230490004337	0.231935893826	0.269016617583	0.270454897126	0.273143744245	0.288328120521	0.529132136543	0.0740523716393	0.49416023389
mothur_0.0	0.221477293193	0.221477293193	0.221477293193	0.221477293193	0.221477293193	0.222124138491	0.0	0.00168433442146	0.0127162175534	0.0437749384227	0.095492122439	0.200702144229	0.205339137185	0.229391635656	0.235895601706	0.254088442777	0.598446049297	2.02931858008e-05	0.00197858561587	0.0127289007943	0.0382881683119	0.099297094777	0.165318438135	0.20601642226	0.210239941556	0.236014824172	0.2560568818	0.529132136543	0.230594006915	0.498850554455
mothur_0.1	0.222560441986	0.222560441986	0.222560441986	0.222560441986	0.222560441986	0.223207287283	0.00168433442146	0.0	0.0111485689503	0.0422148997642	0.0939244738359	0.199137032274	0.203786708471	0.227839206942	0.234330489751	0.252528404119	0.597725641201	0.00169194436616	0.000953779732855	0.0111663254877	0.0367205197088	0.0977370561186	0.163758399477	0.204463993547	0.208679902898	0.234449712217	0.254496843142	0.528406655151	0.230162776717	0.498986149854
mothur_0.2	0.224478148044	0.224478148044	0.224478148044	0.224478148044	0.224478148044	0.225124993341	0.0127162175534	0.0111485689503	0.0	0.0312489694862	0.0828951273523	0.188125442328	0.192775118525	0.216827616996	0.223306216564	0.24184911509	0.589050304271	0.0127162175534	0.0108949041276	0.00126832411277	0.0258180056364	0.086720392876	0.15274680953	0.193447330304	0.197663239655	0.223438122271	0.243812480817	0.519728781572	0.223394999252	0.499370798025
mothur_0.3	0.225728715619	0.225728715619	0.225728715619	0.225728715619	0.225728715619	0.226375560916	0.0437749384227	0.0422148997642	0.0312489694862	0.0	0.0567219909647	0.15800781795	0.162654957499	0.186580623559	0.193191128834	0.212089158112	0.56396792662	0.0437749384227	0.0418749889018	0.0312058464666	0.00614122535297	0.0571456112184	0.122740797675	0.163306876092	0.167525322091	0.193333181135	0.213560414083	0.494702210182	0.20094312581	0.499561738484
