Taxon	Even1
Root;Other;Other;Other;Other;Other	0.0
Root;k__Archaea;Other;Other;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;Other;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__;o__;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;o__B10;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;o__;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;o__NRP-J;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__	0.0
Root;k__Archaea;p__Crenarchaeota;c__pMC2A209;o__;f__	0.0
Root;k__Archaea;p__Euryarchaeota;Other;Other;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;Other;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;Other	2.15866162979e-05
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__MOB7-9	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group III	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__WCHD3-02	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__pMC2A33	0.0
Root;k__Bacteria;Other;Other;Other;Other	0.0469940636805
Root;k__Bacteria;p__ABY1_OD1;c__;o__;f__	0.0
Root;k__Bacteria;p__AC1;c__SHA-114;o__;f__	0.0
Root;k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.0
Root;k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;Other;Other;Other	0.0
Root;k__Bacteria;p__Acidobacteria;c__;o__;Other	2.15866162979e-05
Root;k__Bacteria;p__Acidobacteria;c__;o__;f__	4.31732325958e-05
Root;k__Bacteria;p__Acidobacteria;c__;o__;f__Koribacteraceae	0.0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__	2.15866162979e-05
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae	0.0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__BPC102;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	0.0
Root;k__Bacteria;p__Acidobacteria;c__MVS-40;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__OS-K;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__RB25;o__;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	4.31732325958e-05
Root;k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;Other;Other	0.0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__	0.0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__	0.0
Root;k__Bacteria;p__Actinobacteria;Other;Other;Other	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.0010361575823
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__0319-7L14;f__	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;Other	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__AKIW874	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__CL500-29	2.15866162979e-05
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__EB1017	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Iamiaceae	0.0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__JdFBGBact	0.0
