#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
HMPMockV1.2.Staggered1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.031813024318	0.00326233069446	-0.00043099640344	-2.04484325435e-06	-7.0605089235e-05	0.000163818187633	9.57564351698e-05	1.03784813748e-07	7.67678078631e-06	8.21946943006e-06	1.01101152209e-06	2.21166711138e-07	-1.14162184297e-07	8.43873974341e-08	-1.85393255303e-08	2.76108729918e-08	-8.66795482871e-09	1.25529602167e-08	-9.97878453751e-10	3.46233575226e-09	-6.55299024438e-09	2.80354932129e-09	2.37457295299e-09	9.04441580848e-12	5.55881049086e-10	2.50585114487e-11	2.5858937746e-12	4.58220924369e-10	-3.74982037409e-10	-8.00328777983e-10	4.48268630744e-10
HMPMockV1.2.Staggered2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0317480799811	0.0031738956604	-0.000427729846609	-2.96992559687e-06	-6.85674302461e-05	0.000163555599835	9.49506858416e-05	2.84850045707e-07	7.74483759896e-06	8.32694877311e-06	1.01760095515e-06	2.05712354537e-07	-1.12544387191e-07	8.5702937588e-08	-1.92490091862e-08	2.78529257668e-08	-1.01842815397e-08	1.23602482208e-08	-2.7152352437e-09	3.85838922461e-09	-5.6938023436e-09	2.9205205351e-09	2.19626971651e-09	3.63600457986e-11	6.13293790106e-10	2.39476077752e-11	2.58468195004e-12	4.58220924363e-10	-3.7498203741e-10	-8.00328777985e-10	4.48268630744e-10
HMPMockV1.1.Even2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0307602506213	0.00196755344691	-0.000476589990269	2.95371280571e-06	-5.86940050767e-05	0.000158589546736	9.34266998081e-05	-2.64889739555e-08	7.40056222777e-06	8.46599317205e-06	1.11472807287e-06	2.3535195449e-07	-1.15782455634e-07	9.12647606821e-08	-1.13899305851e-08	3.05540484481e-08	-1.35025579497e-08	1.18310150585e-08	-1.58319628245e-09	4.21323156925e-09	-6.66261779745e-09	2.39841550203e-09	2.21576613177e-09	-4.74948528524e-11	4.64554687049e-10	2.75428568008e-11	2.58843578855e-12	4.58220924382e-10	-3.74982037409e-10	-8.0032877798e-10	4.48268630744e-10
HMPMockV1.1.Even1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0307395136246	0.00196507057211	-0.000484562554879	4.02193965785e-06	-6.23891102925e-05	0.00015931238215	9.45355949839e-05	-3.92273123607e-08	7.43046696471e-06	8.33244744589e-06	1.10887748542e-06	2.39979433964e-07	-1.22107032976e-07	9.07438130328e-08	-1.15666384403e-08	2.78229877196e-08	-1.14447121371e-08	1.53271967172e-08	-2.19285091984e-09	4.4060382908e-09	-6.62752809296e-09	2.39502134382e-09	2.40389849121e-09	-8.26276429863e-11	4.66606882271e-10	1.74859227604e-11	2.5887521821e-12	4.58220924383e-10	-3.74982037408e-10	-8.0032877798e-10	4.48268630744e-10
HMPMockV1.1.Even1;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	-0.0109653268702	0.0201899749596	-8.68289773985e-05	-0.00084779966617	0.00123039483607	0.00107960944084	0.000836203516499	-3.30315536382e-05	5.54118157261e-05	5.12135816635e-05	1.83260554098e-06	4.57528224399e-06	-5.86934952956e-07	8.78806249821e-07	-2.61296181635e-08	9.20305274861e-08	-1.15533943616e-08	1.94343217511e-07	-2.65190624187e-08	1.68713340158e-08	-4.51190410009e-08	5.56844530833e-09	1.10704002981e-08	-1.01850821631e-09	1.09484238102e-09	2.01675774758e-10	2.63564123003e-12	4.58220924623e-10	-3.74982037395e-10	-8.00328777928e-10	4.48268630742e-10
HMPMockV1.1.Even2;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	-0.0109436170134	0.0201413670337	-8.61820161188e-05	-0.000848494049521	0.00123001662732	0.00107962429132	0.000836049816654	-3.30343877428e-05	5.53502973928e-05	5.11064525365e-05	1.82745037268e-06	4.56984390541e-06	-5.82496737648e-07	8.76360414537e-07	-2.57471072954e-08	9.27956653031e-08	-1.12083665541e-08	1.94310202588e-07	-2.63478310674e-08	1.70889539963e-08	-4.52552162907e-08	5.51172216646e-09	1.12065476436e-08	-9.95732842941e-10	1.13994111295e-09	2.01644843629e-10	2.63615368882e-12	4.58220924625e-10	-3.74982037395e-10	-8.00328777927e-10	4.48268630742e-10
HMPMockV1.2.Staggered2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-0.011347814824	-0.0250154249047	0.000956075234342	-0.00129804912331	-0.000448577293183	0.000231455173181	0.000280603464874	-1.29547493895e-06	-2.84404866211e-05	-1.30801995398e-05	-2.54824470632e-06	-6.96637949407e-07	3.57662364776e-07	-2.26276479617e-07	-5.96951802094e-08	9.53801833404e-08	-6.26764802651e-08	-8.44525380893e-08	1.30518457944e-08	1.3660813831e-08	2.1526647083e-08	-3.60969570819e-09	2.73032974655e-09	1.00519294121e-09	-1.43626562467e-09	-9.19856956634e-11	2.54250443409e-12	4.58220924148e-10	-3.74982037421e-10	-8.00328778032e-10	4.48268630746e-10
HMPMockV1.2.Staggered1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-0.0103399118252	-0.0262108011124	0.000906510026085	-0.00128956105062	-0.000443343925928	0.000229955077844	0.000282188786243	-1.80800822962e-06	-2.80420747554e-05	-1.36137627791e-05	-2.46364822255e-06	-5.53615693121e-07	3.88126406551e-07	-2.1683277394e-07	-6.57820221726e-08	6.97658551585e-08	-4.77097323627e-08	-8.6459335114e-08	1.16695457852e-08	1.02365731563e-08	2.22822798194e-08	-5.30514203181e-09	5.81911441077e-10	8.08564073041e-10	-1.86764103949e-09	-9.53044908903e-11	2.53831501042e-12	4.58220924127e-10	-3.74982037422e-10	-8.00328778037e-10	4.48268630746e-10
HMPMockV1.1.Even1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0114008638472	-0.0237068207984	-0.000444762230725	-0.000251865655828	-1.35986342534e-05	3.41668018565e-05	6.63385774518e-05	-2.83320233881e-06	-8.48081540998e-06	-8.40382609151e-06	4.6021289332e-07	2.85457353194e-07	4.34457015784e-08	-4.81196717658e-08	-1.45218102384e-08	1.53489720308e-08	-4.50911823343e-09	-2.94668425671e-08	-3.67661402046e-09	7.34469739011e-09	7.48315657197e-09	-8.52470542108e-10	4.41193678518e-10	2.65940948658e-10	-1.82427968104e-10	-3.37362541868e-11	2.571578422e-12	4.58220924296e-10	-3.74982037413e-10	-8.00328777999e-10	4.48268630744e-10
HMPMockV1.2.Staggered2;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter	-0.00445344490729	0.00433544421267	0.0002459069781	-2.1886300395e-05	-1.59112239048e-07	8.14439584046e-06	-2.73320176929e-06	1.35863157568e-06	-2.40059258449e-08	3.1443109726e-06	-2.01977267513e-07	-2.25510838764e-07	1.00889682648e-07	-2.74885040218e-08	-3.4057781471e-09	7.81756871132e-10	-7.71127191455e-09	-8.52951427928e-09	-3.65253632162e-09	-8.20057313263e-10	6.12644298627e-09	-1.78703307242e-09	-2.55883632048e-09	-3.40881975384e-11	-3.8615182296e-10	-9.2555529889e-13	2.56813209976e-12	4.58220924279e-10	-3.74982037414e-10	-8.00328778003e-10	4.48268630745e-10
