Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other	0.000124973220024
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class)	0.0338974981552
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.31687852603
k__Bacteria;p__Firmicutes;Other	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli	0.0971101430646
k__Bacteria;p__Firmicutes;c__Clostridia	0.425480254231
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae_(class)	0.000434430717227
k__Bacteria;p__Proteobacteria;Other	1.19022114309e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.121390654384
k__Bacteria;p__Tenericutes;c__Erysipelotrichi	0.00255897545764
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.00210074031755
