Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other;Other	0.000124973220024
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Bifidobacteriales	0.0338677426266
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales	2.97555285772e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.31687852603
k__Bacteria;p__Firmicutes;Other;Other	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0970982408532
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.425480254231
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae_(class);o__Victivallales	0.000434430717227
k__Bacteria;p__Proteobacteria;Other;Other	1.19022114309e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.121372801066
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	1.78533171463e-05
k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00255897545764
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.00210074031755
