# Constructed from biom file
#OTU ID	expected_expected_Koji.8	expected_expected_Koji.9	expected_expected_Koji.10	expected_expected_Moto.B	expected_expected_Moto.C	expected_expected_Moto.D	expected_expected_Moto.F	expected_expected_Moto.I	expected_expected_Moto.J	expected_expected_Moto.M	expected_expected_Moto.N	expected_expected_Moromi.A	expected_expected_Moromi.B	expected_expected_Moromi.C	expected_expected_Moromi.D	expected_expected_Moromi.E	expected_expected_Moromi.F	expected_expected_Moromi.G	expected_expected_Moromi.H	expected_expected_Moromi.I	expected_expected_Moromi.J	expected_expected_Moromi.K	expected_expected_Moromi.L	expected_expected_Moromi.M	expected_expected_Moromi.N	expected_expected_Moromi.O	expected_expected_Moromi.P	expected_expected_Moromi.Q	expected_expected_Moromi.R	expected_expected_Moromi.S	expected_expected_Moromi.T	blast_0.001_Koji.10	blast_0.001_Koji.8	blast_0.001_Koji.9	blast_0.001_Moromi.A	blast_0.001_Moromi.B	blast_0.001_Moromi.C	blast_0.001_Moromi.D	blast_0.001_Moromi.E	blast_0.001_Moromi.F	blast_0.001_Moromi.G	blast_0.001_Moromi.H	blast_0.001_Moromi.I	blast_0.001_Moromi.J	blast_0.001_Moromi.K	blast_0.001_Moromi.L	blast_0.001_Moromi.M	blast_0.001_Moromi.N	blast_0.001_Moromi.O	blast_0.001_Moromi.P	blast_0.001_Moromi.Q	blast_0.001_Moromi.R	blast_0.001_Moromi.S	blast_0.001_Moromi.T	blast_0.001_Moto.B	blast_0.001_Moto.C	blast_0.001_Moto.D	blast_0.001_Moto.F	blast_0.001_Moto.I	blast_0.001_Moto.J	blast_0.001_Moto.M	blast_0.001_Moto.N	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.00050184	0.000167983	0.0	0.00041806	0.000872002	0.000665336000665	0.000518202	0.000330516000331	0.000689480001379	0.000501662	0.000583017999417	0.0676472301353	0.04685526	0.028491272057	0.0194525330195	0.0208398130208	0.0336687880337	0.014028476	0.017599862	0.0236173839764	0.013058886	0.002990396	0.0109040439891	0.003874546	0.0041966690042	0.003029505	0.00176056300176	0.003797769	0.005280427	0.003880983	0.002768347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.821344931	0.77288762	0.660726525	0.203438545	0.01046403	0.0104552800105	0.008679881	0.00505217400505	0.0100518920201	0.006647018	0.00703785399296	0.0455845440912	0.131392475	0.147069825294	0.165987187166	0.201166407201	0.166937990167	0.156197655	0.168406522	0.229362552771	0.132093791	0.113405026	0.126817340873	0.164403116	0.114591156115	0.109391465	0.080985915081	0.089880529	0.107146519	0.086536685	0.101906503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.00100368	0.001847808	0.000913868	0.001515468	0.323076923	0.221271742221	0.143736235	0.0999102880999	0.117247886234	0.105474384	0.119310373881	0.058483628117	0.059324361	0.0228179550456	0.0203843910204	0.024961120025	0.0364066890364	0.020623953	0.017168493	0.0316872729683	0.013981261	0.003680488	0.0128865979871	0.00607692	0.00697972300698	0.00711275	0.00462147900462	0.006487855	0.009074131	0.005036038	0.003447375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus	0.055536969	0.134554006	0.286040667	0.268812709	0.10432887	0.0660583590661	0.061795569	0.0158175550158	0.0194505930389	0.01153822	0.012951317987	0.00414404900829	0.01499588	0.0144638400289	0.0148514850149	0.0123639190124	0.0203492670203	0.010783082	0.011646967	0.0173243499827	0.011262683	0.006900914	0.0120935769879	0.008197724	0.00671467100671	0.008429926	0.00539172500539	0.006804336	0.005793089	0.005174644	0.007469313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.013215122	0.013102637	0.010281014	0.017035953	0.274556213	0.460887748461	0.548127996	0.715850607716	0.681823131364	0.721891265	0.689376587311	0.465884550932	0.438670695	0.678678305357	0.711182295711	0.654354588654	0.532854817533	0.710322446	0.688033819	0.572517953427	0.744939075	0.858876301	0.750925191249	0.803417758	0.848743208849	0.850500527	0.897337148897	0.877601076	0.844304317	0.885002772	0.874693131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.003178321	0.003527633	0.006625543	0.092809365	0.018187481	0.00902956000903	0.007125275	0.00406062600406	0.00504409001009	0.003386217	0.00487236099513	0.00536975401074	0.003021148	0.00317955100636	0.00256260900256	0.00295489900295	0.00288589600289	0.002093802	0.00224312	0.00340564199659	0.001990388	0.00218529	0.00270948999729	0.001876096	0.00326898400327	0.001844046	0.00198063400198	0.002769206	0.002306982	0.001848087	0.002716114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella	0.00150552	0.001847808	0.000456934	0.093436455	0.251261289	0.218610398219	0.217644773	0.141791397142	0.147984178296	0.130557472	0.143797109856	0.351894006704	0.304421862	0.103740648207	0.0637157830637	0.0823483670823	0.206008584206	0.084694305	0.0942973	0.120826237879	0.081217535	0.01086894	0.0821438009179	0.010889514	0.013959447014	0.018967334	0.00671214800671	0.011709787	0.024761612	0.011411939	0.005536694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.103713617	0.072064505	0.034955449	0.322533445	0.017253192	0.013021576013	0.012372069	0.0171868360172	0.0177087490354	0.020003762	0.0220713779779	0.000992237001984	0.001318319	0.00155860300312	0.00186371600186	0.00101088600101	0.000887968000888	0.001256281	0.000603917	0.00125860699874	0.001456381	0.001092645	0.00151995799848	0.001264326	0.00154614100155	0.000724447	0.00121038700121	0.000949442	0.001332923	0.001108852	0.001462523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__ruminis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00347229145454	0.00371147775093	0.00208388050334	0.073768439868	0.241034607665	0.00307025133558	0.422306022416	0.138305593551	0.167226335724	0.200005342845	0.300205885825	0.105432171478	0.149221116367	0.0460550891221	0.0330851626774	0.326005413975	0.270895714944	0.280003533109	0.309979804336	0.152194930652	0.228138346982	0.0520290293274	0.26592187043	0.00609356796172	0.139761189993	0.170156707389	0.166136875367	0.0764853149791	0.207717361805	0.205175240972	0.181848859959	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__maitriensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0403182430374	0.0165105436672	0.0213467566135	0.00192718627026	0.00405122148469	0.00393326524339	0.00395315235783	0.00249934390436	0.00557149864928	0.00343994599849	0.00341648692596	0.00380712650871	0.00300673538309	0.0015571585737	0.00387551269888	0.0012192614977	0.00181971434076	0.00260472500964	0.00199062886129	0.00112890619784	0.000855666313477	0.00205311360358	0.00153142300841	0.121495683698	0.0427096787714	0.020205681812	0.0169565183829	0.00655898638369	0.00449781528638	0.00306519123391	0.00488412412305	None
