#OTU ID	taxonomy	confidence	num hits
4479946	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__	1.00	5
244331	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	1.00	5
973124	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	1.00	5
1124709	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga; s__	1.00	5
114788	k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__	1.00	5
101767	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	1.00	5
337732	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
970732	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.00	5
533624	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__	1.00	5
1146490	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae	1.00	5
577110	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1.00	5
942225	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	1.00	2
4341233	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
4467993	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__	1.00	5
4454356	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	1.00	5
710414	k__Bacteria; p__Actinobacteria	1.00	5
261920	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas	1.00	5
971038	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	1.00	1
82194	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	1.00	5
606189	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae	1.00	5
301062	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
1101451	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	1.00	5
4470549	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	1.00	5
580916	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	1.00	5
1765390	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	1.00	5
642138	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__GW-28; f__; g__; s__	1.00	5
1059007	k__Bacteria; p__Bacteroidetes	1.00	5
266040	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	1.00	5
704357	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__	1.00	5
898023	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.00	5
4298282	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.00	5
3541724	k__Bacteria; p__Gemmatimonadetes	1.00	5
300258	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	1.00	5
142606	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	1.00	5
348377	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
563302	k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__; g__; s__	1.00	5
311174	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
3044093	k__Bacteria; p__Planctomycetes; c__ODP123; o__; f__; g__; s__	1.00	3
527745	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.00	5
166488	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__	1.00	5
