#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.000240516308342	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__[Marinicellales]	f__[Marinicellaceae]	g__
2	otu	6.68100856505e-05	Even3	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Treponema
3	otu	2.67240342602e-05	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Aquitalea
4	otu	2.24140621334	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium
5	otu	0.000641376822245	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Other
6	otu	0.108098718582	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__
7	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	Other
8	otu	0.000146982188431	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__
9	otu	4.19114454229	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
10	otu	5.34480685204e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	Other
11	otu	0.0	Even3	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Cloacibacillus
12	otu	0.000106896137041	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia
13	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__BD2-13
14	otu	0.178023935381	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Edwardsiella
15	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	Other	Other
16	otu	0.000160344205561	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Halothiobacillaceae	g__Halothiobacillus
17	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__
18	otu	0.00116249549032	Even3	k__Bacteria	p__Actinobacteria	Other	Other	Other	Other
19	otu	0.000106896137041	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	Other
20	otu	4.00860513903e-05	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Salimicrobium
21	otu	0.000534480685204	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Other
22	otu	6.68100856505e-05	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__
23	otu	0.713264474405	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__
24	otu	0.000106896137041	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__
25	otu	2.67240342602e-05	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Other	Other	Other
26	otu	0.000106896137041	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Morganella
27	otu	0.000106896137041	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Virgibacillus
