Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;Other	0.0	1.93842424353e-05	2.16994864166e-05	1.34621390801e-06
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.00335774660353	0.0443876346777	0.0457876522978	0.00380170807621
k__Bacteria;Other;Other;Other;Other;Other	0.000777204938709	0.000310147878965	0.000448745379094	0.00100562178928
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	6.91463468602e-06	0.0	8.67979456662e-07	1.2115925172e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;Other	1.79780501837e-05	1.14024955502e-06	0.0	4.84637006882e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0123592180378	8.55187166263e-05	5.03428084864e-05	0.0139386988035
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Parascardovia	1.3829269372e-06	0.0	0.0	1.34621390801e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus	4.14878081161e-06	1.14024955502e-06	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	0.000125846351286	3.42074866505e-06	7.81181510996e-06	0.00010769711264
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0438263375669	0.000356898110721	0.000356739556688	0.045013354442
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other;Other;Other	0.000113400008851	0.000245153654329	0.000236090412212	0.000142698674249
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other	0.000921029340178	0.000779930695632	0.000890546922535	0.00112004997146
k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__	0.0141902133027	0.0094424065651	0.0097456733394	0.0143654486123
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other	0.024004845776	0.00239566431509	0.00275409881599	0.0251365060903
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;Other	2.76585387441e-06	3.42074866505e-06	4.33989728331e-06	8.07728344803e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	2.76585387441e-06	0.0	0.0	5.38485563202e-06
