Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_sp._accc_30795	0	0	0	0	0	0	0.208257683371	0.208210647125	0.208003687642	0.207683841168	0.207495696183	0.206997111974	0.205284992615	0.196940762552	0.194071551538	0.190684941816	0	0.208257683371	0.208210647125	0.208107167383	0.207627397673	0.20742043819	0.206536156762	0.20583061307	0.204052642967	0.194127995033	0.00134523663935	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Alveolata;c__Ciliophora;Other;Other	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Metazoa;c__Nematoda;g__Aphelenchoides;s__Aphelenchoides_sp._h1_wy-2008	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Metazoa;c__Chaetognatha;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Metazoa;c__Cnidaria;g__Myxidium;s__Myxidium_lieberkuehni	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Paecilomyces;s__Paecilomyces_pascua	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Kuraishia;s__Kuraishia_capsulata	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	0	0.000112886990715	0.000112886990715	3.7628996905e-05	0	0	0	0	0	0	0	0	0.000112886990715	5.64434953575e-05	5.64434953575e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_immitis_rmscc_2394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	
EUK.Mock.1;Root;k__Eukaryota;p__Alveolata;c__Apicomplexa;g__Leidyana;s__Leidyana_migrator	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichoderma;s__Trichoderma_sp._090209	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
