Taxon	Even3
Root;Other;Other;Other;Other	0.00343860217508
Root;k__Archaea;Other;Other;Other	7.36317382244e-06
Root;k__Bacteria;Other;Other;Other	0.133243993491
Root;k__Bacteria;p__Acidobacteria;Other;Other	1.47263476449e-05
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	1.47263476449e-05
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	7.36317382244e-06
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	7.36317382244e-06
Root;k__Bacteria;p__Actinobacteria;Other;Other	2.20895214673e-05
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	0.00233412610171
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__	7.36317382244e-06
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales	7.36317382244e-06
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	9.57212596918e-05
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0800082467547
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	0.000125173954982
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales	1.47263476449e-05
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__koll13	1.47263476449e-05
Root;k__Bacteria;p__Armatimonadetes;c__SJA-176;o__	7.36317382244e-06
Root;k__Bacteria;p__Bacteroidetes;Other;Other	0.00195124106295
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.230312713992
Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	7.36317382244e-05
Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	3.68158691122e-05
Root;k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales	1.47263476449e-05
Root;k__Bacteria;p__Chloroflexi;Other;Other	7.36317382244e-06
Root;k__Bacteria;p__Chloroflexi;c__Anaerolineae;Other	4.41790429347e-05
Root;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A4b	1.47263476449e-05
Root;k__Bacteria;p__Cyanobacteria;Other;Other	7.36317382244e-06
Root;k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	7.36317382244e-06
Root;k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__mle1-12	7.36317382244e-06
Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other	3.68158691122e-05
Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae	7.36317382244e-06
Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	0.000139900302626
Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	7.36317382244e-06
