# QIIME v1.5.0 OTU table
#OTU ID	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected	taxonomy
1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella
2	0	0	0	0	0	0	0	0	7.80122479229e-06	0.0	7.80122479229e-06	3.12048991692e-05	0.000117018371884	5.4608573546e-05	0.0001014159223	6.24097983383e-05	0.0186059211296	0	0	0.0	0.0	0	0.0001014159223	3.90061239615e-05	0.000382260014822	7.02110231306e-05	0.0002028318446	0.0293872137926	0	0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;Other
3	0.0259702773335	0.0259702773335	0.0259702773335	0.0259702773335	0.0259702773335	0.0259312712096	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	0	0	0	0	0	0	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	0	0	0	0	0	0	9.36146975075e-05	0.000117018371884	0	Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__
4	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	Even3;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
5	0	0	0	0	0	0	3.90061239615e-05	3.90061239615e-05	3.12048991692e-05	0	0	0	0	0	0	0	0	3.90061239615e-05	3.90061239615e-05	2.34036743769e-05	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Methylonatrum
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	Even3;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__
7	0	0	0	0	0	0	0	7.80122479229e-05	0.000132620821469	1.56024495846e-05	7.80122479229e-06	1.56024495846e-05	0.0	7.02110231306e-05	8.58134727152e-05	0.000499278386707	2.34036743769e-05	0	0.000140422046261	6.24097983383e-05	3.12048991692e-05	1.56024495846e-05	9.36146975075e-05	2.34036743769e-05	2.34036743769e-05	4.68073487538e-05	0.000241837968561	3.90061239615e-05	0	0	0	Even3;k__Bacteria;p__Actinobacteria;Other;Other;Other;Other
8	0	0	0	0	0	0	0	2.34036743769e-05	0	0	0	0	0	0	0	0	0	0	2.34036743769e-05	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;Other;Other
9	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	7.80122479229e-06	7.80122479229e-06	7.80122479229e-06	0	0	0	0	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	1.56024495846e-05	7.80122479229e-06	0	0	0	0	0	1.56024495846e-05	1.56024495846e-05	0	Even3;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80122479229e-06	0	0	0	0	0	0	0	0	0	0	7.80122479229e-06	7.80122479229e-06	7.80122479229e-06	0	Even3;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;Other
