#SampleID	Type	Stage	Order
Koji.8	Koji	8	1
Koji.9	Koji	9	2
Koji.10	Koji	10	3
Moto.B	Moto	B	4
Moto.C	Moto	C	5
Moto.D	Moto	D	6
Moto.F	Moto	F	7
Moto.I	Moto	I	8
Moto.J	Moto	J	9
Moto.M	Moto	M	10
Moto.N	Moto	N	11
Moromi.A	Moromi	A	12
Moromi.B	Moromi	B	13
Moromi.C	Moromi	C	14
Moromi.D	Moromi	D	15
Moromi.E	Moromi	E	16
Moromi.F	Moromi	F	17
Moromi.G	Moromi	G	18
Moromi.H	Moromi	H	19
Moromi.I	Moromi	I	20
Moromi.J	Moromi	J	21
Moromi.K	Moromi	K	22
Moromi.L	Moromi	L	23
Moromi.M	Moromi	M	24
Moromi.N	Moromi	N	25
Moromi.O	Moromi	O	26
Moromi.P	Moromi	P	27
Moromi.Q	Moromi	Q	28
Moromi.R	Moromi	R	29
Moromi.S	Moromi	S	30
Moromi.T	Moromi	T	31
