#SampleID	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Planococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc
Koji.8	0.013215122	0.821344931	0.00150552	0.00100368	0.003178321	0.055536969	0.103713617	0.00050184
Koji.9	0.013102637	0.77288762	0.001847808	0.001847808	0.003527633	0.134554006	0.072064505	0.000167983
Koji.10	0.010281014	0.660726525	0.000456934	0.000913868	0.006625543	0.286040667	0.034955449	0
Moto.B	0.017035953	0.203438545	0.093436455	0.001515468	0.092809365	0.268812709	0.322533445	0.00041806
Moto.C	0.274556213	0.01046403	0.251261289	0.323076923	0.018187481	0.10432887	0.017253192	0.000872002
Moto.D	0.460887748	0.01045528	0.218610398	0.221271742	0.00902956	0.066058359	0.013021576	0.000665336
Moto.F	0.548127996	0.008679881	0.217644773	0.143736235	0.007125275	0.061795569	0.012372069	0.000518202
Moto.I	0.715850607	0.005052174	0.141791397	0.099910288	0.004060626	0.015817555	0.017186836	0.000330516
Moto.J	0.68182313	0.010051892	0.147984178	0.117247886	0.00504409	0.019450593	0.017708749	0.00068948
Moto.M	0.721891265	0.006647018	0.130557472	0.105474384	0.003386217	0.01153822	0.020003762	0.000501662
Moto.N	0.689376588	0.007037854	0.14379711	0.119310374	0.004872361	0.012951318	0.022071378	0.000583018
Moromi.A	0.46588455	0.045584544	0.351894006	0.058483628	0.005369754	0.004144049	0.000992237	0.06764723
Moromi.B	0.438670695	0.131392475	0.304421862	0.059324361	0.003021148	0.01499588	0.001318319	0.04685526
Moromi.C	0.678678304	0.147069825	0.103740648	0.022817955	0.003179551	0.01446384	0.001558603	0.028491272
Moromi.D	0.711182295	0.165987187	0.063715783	0.020384391	0.002562609	0.014851485	0.001863716	0.019452533
Moromi.E	0.654354588	0.201166407	0.082348367	0.02496112	0.002954899	0.012363919	0.001010886	0.020839813
Moromi.F	0.532854817	0.16693799	0.206008584	0.036406689	0.002885896	0.020349267	0.000887968	0.033668788
Moromi.G	0.710322446	0.156197655	0.084694305	0.020623953	0.002093802	0.010783082	0.001256281	0.014028476
Moromi.H	0.688033819	0.168406522	0.0942973	0.017168493	0.00224312	0.011646967	0.000603917	0.017599862
Moromi.I	0.572517954	0.229362553	0.120826238	0.031687273	0.003405642	0.01732435	0.001258607	0.023617384
Moromi.J	0.744939075	0.132093791	0.081217535	0.013981261	0.001990388	0.011262683	0.001456381	0.013058886
Moromi.K	0.858876301	0.113405026	0.01086894	0.003680488	0.00218529	0.006900914	0.001092645	0.002990396
Moromi.L	0.750925192	0.126817341	0.082143801	0.012886598	0.00270949	0.012093577	0.001519958	0.010904044
Moromi.M	0.803417758	0.164403116	0.010889514	0.00607692	0.001876096	0.008197724	0.001264326	0.003874546
Moromi.N	0.848743208	0.114591156	0.013959447	0.006979723	0.003268984	0.006714671	0.001546141	0.004196669
Moromi.O	0.850500527	0.109391465	0.018967334	0.00711275	0.001844046	0.008429926	0.000724447	0.003029505
Moromi.P	0.897337148	0.080985915	0.006712148	0.004621479	0.001980634	0.005391725	0.001210387	0.001760563
Moromi.Q	0.877601076	0.089880529	0.011709787	0.006487855	0.002769206	0.006804336	0.000949442	0.003797769
Moromi.R	0.844304317	0.107146519	0.024761612	0.009074131	0.002306982	0.005793089	0.001332923	0.005280427
Moromi.S	0.885002772	0.086536685	0.011411939	0.005036038	0.001848087	0.005174644	0.001108852	0.003880983
Moromi.T	0.874693131	0.101906503	0.005536694	0.003447375	0.002716114	0.007469313	0.001462523	0.002768347
