Taxon	Mock.3	Mock.2	Mock.1
Unassigned;Other	0.187707960072	0.203331164606	0.160762349588
p__Ascomycota;Other	0.000303941643205	0.000156148340924	0.000237492083597
p__Ascomycota;c__Eurotiomycetes	0.0646595853596	0.0602472348731	0.0662602913236
p__Ascomycota;c__Saccharomycetes	0.602988226261	0.6111906311	0.635449651678
p__Ascomycota;c__Sordariomycetes	0.0129575121577	0.0115549772284	0.0120329322356
p__Ascomycota;c__unidentified	0.00054389557205	0.000468445022772	0.000870804306523
p__Basidiomycota;Other	0.0211639365242	0.0202992843201	0.0187025015833
p__Basidiomycota;c__Agaricomycetes	0.0112458407986	0.0116070266753	0.01298290057
p__Glomeromycota;Other	0.0	5.20494469746e-05	0.0
p__unidentified;c__unidentified	0.0984291016125	0.0810930383865	0.0927010766308
