Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
g__Pleomorphomonas	0	0	0	0	0	0	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	0	0	0	0	0	0	0	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	0	0	0	0	0	0	0	0	0	0	
g__Granulicatella	0.00115130714949	0.00115130714949	0.00115130714949	0.00115130714949	0.00115130714949	0.00115130714949	0.000182983417675	0.000179481342696	0.000178605823951	0.000179481342696	8.75518744856e-07	0	0	0	0	0	0	0.000182983417675	0.000182983417675	0.000179481342696	5.25311246914e-05	6.12863121399e-06	0	0	0	0	0	0	0.000573464777881	0.000964821656832	0	
g__Geobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	
g__Clostridium	0.0235462011242	0.0235462011242	0.0235462011242	0.0235462011242	0.0235462011242	0.0235462011242	0.0236346285174	0.0236346285174	0.0236346285174	0.0236328774799	0.0236206202175	0.0235978567301	0.023574217724	0.0235225621181	0.0233334500692	0.023227512301	0.0229797404962	0.0236346285174	0.0236346285174	0.0236346285174	0.0236293754049	0.0236206202175	0.0235969812114	0.0234910434432	0.023454271656	0.0233623421877	0.0232292633385	0.0229202052216	0.0236162426238	0.0234787861808	0.021431633	
Other	0	0	0	0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	3.50207497943e-06	9.63070619342e-06	9.63070619342e-06	4.37759372428e-06	0	0.000267033217181	0	0	0	0	1.75103748971e-06	3.50207497943e-06	7.87966870371e-06	7.87966870371e-06	6.12863121399e-05	0.0	2.4514524856e-05	0	0	0	
Other	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	
g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Burkholderia	0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	1.75103748971e-06	0	0	0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	1.75103748971e-06	0	0	0	0	0	0	0	0	0	0	0	
g__Edwardsiella	0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	1.75103748971e-06	0.0	0.0	0.0	0	0	0	0	0	1.75103748971e-06	1.75103748971e-06	8.75518744856e-07	0.0	0.0	0.0	0	0	0	0	0	8.75518744856e-07	0	0	
g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62655623457e-06	2.62655623457e-06	0	
g__Thalassobacillus	0	0	0	0	0	0	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	0	0	0	0	0	0	0	0	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	8.75518744856e-07	0	0	0	0	0	0	0	0	0	0	
g__Propionispora	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
