Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other	0.00101763907734
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0338439382037
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.316699992859
k__Bacteria;p__Firmicutes;Other	0.000458235140089
k__Bacteria;p__Firmicutes;c__Bacilli	0.0970446809017
k__Bacteria;p__Firmicutes;c__Clostridia	0.424516175105
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00255897545764
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.000434430717227
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.121325192221
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.00210074031755
