# Constructed from biom file
#OTU ID	Mock.1	Mock.2	Mock.3	a
d48eeaecb871518ba4e11d1aa1d8bcbb	4537.0	4601.0	2487.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Clavariadelphaceae;g__Clavariadelphus;s__Clavariadelphus_occidentalis
87911359940e653775ec69e92ce60108	2953.0	2906.0	1833.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_deserticola
bd81f00fac7cfe112949c77cd943bbad	2815.0	2474.0	1926.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sp
d735827e8c9fbe5b6cb8d60976076416	2433.0	2672.0	1170.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
638ba109fec2bb27d5564f2ba95523cb	2044.0	2315.0	892.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Priceomyces;s__Priceomyces_melissophilus
2cc5e8a108cbbe4c1dfe3126e6192d98	1816.0	1851.0	861.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
79c30328522455fabacd8f04fd2479d8	1785.0	1646.0	849.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Hyphopichia;s__Hyphopichia_burtonii
9af25943261b01c1fe84b8c617b23078	1750.0	1788.0	661.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces;s__Kluyveromyces_lactis
d03ca5e8f74dbdfd8c0bb07de9049815	1449.0	1763.0	690.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
171be7c96c0335f324d4944988c595c5	1230.0	1314.0	722.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
06e9965863cbd2673071e43ea32612d9	1112.0	1036.0	530.0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_sp
805835e9bf3bd3095815b9483ff9ed30	600.0	611.0	289.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
d374c2f3352092dd2c1ecf3aabe74277	536.0	547.0	309.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
7ff7f9832be57dc8108fd6390e8e905c	462.0	498.0	279.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Clavariadelphaceae;g__Clavariadelphus;s__Clavariadelphus_occidentalis
74cbdaeaced6bd3a886efe2a40dbb783	454.0	495.0	161.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Clavariadelphaceae;g__Clavariadelphus;s__Clavariadelphus_occidentalis
1836a383f4d66000688d33087c6608ae	401.0	330.0	159.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Doratomyces;s__Doratomyces_columnaris
0f30c81d2e95cdb37d44661270d73d3a	331.0	347.0	162.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
47ac2d324e41fb682b0f47d211b737c7	143.0	147.0	46.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygosaccharomyces;s__Zygosaccharomyces_sapae
3b7b9fa2c7520ded4f910be5e93836bb	105.0	91.0	0.0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kluyveri
205f6ef616578d01de786903537b64a9	78.0	73.0	41.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Clavariadelphaceae;g__Clavariadelphus;s__Clavariadelphus_occidentalis
65300481deec02196e65f2f7d7e4b9b7	0.0	29.0	0.0	Unassigned
3ac746afb1d6dc247dbbec745572dcfc	12.0	9.0	7.0	Unassigned
ea10825e5788bd2b72e64642e7d0d397	6.0	5.0	4.0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_bicolor
69607bca4ab581da58e5c9a7bd46c569	7.0	5.0	0.0	Unassigned
b45d143b04d073c2bc2d2f8e1b7635d6	7.0	0.0	0.0	Unassigned
b96756e30ea6348922211d1861161e7c	0.0	5.0	0.0	Unassigned
0da84df041390795dc8c0ad0bfda27df	0.0	0.0	4.0	Unassigned
2f173101691f8f9521e843a5c1ae40c1	0.0	0.0	3.0	Unassigned
7bc1493fc38dde45496e51ea21fcd71a	0.0	2.0	0.0	Unassigned
