Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0.0601701729901	0.00492184123665	0.00450302002183	0.0624690320714
Archaea;Euryarchaeota;Other;Other;Other	6.02794797801e-06	0.0	0.0	4.98812272555e-06
Archaea;Other;Other;Other;Other	4.01863198534e-07	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	4.70179942284e-05	0.0104343789101	0.00981777220716	5.20981706891e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	4.01863198534e-07	0.0	0.0	2.21694343358e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	0.0	0.0	6.75317939686e-07	1.10847171679e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae	4.01863198534e-07	0.0	0.0	5.54235858395e-07
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other	7.23353757361e-06	0.000398201112321	0.000314698159894	5.54235858395e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	5.62608477947e-06	0.000116377892227	9.2518557737e-05	8.31353787592e-06
Bacteria;Actinobacteria;Actinobacteria;Other;Other	6.42981117654e-06	3.14534843855e-06	5.40254351749e-06	5.54235858395e-06
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.000361275015482	0.0398553391346	0.0375625344412	0.000330324571603
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other	1.40652119487e-05	0.000207592996945	0.000173556710499	7.20506615913e-06
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	0.0	0.0	4.05190763812e-06	0.0
Bacteria;Bacteroidetes;Other;Other;Other	2.61211079047e-05	0.000421476690766	0.000299841165221	1.66270757518e-05
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae	0.0	0.0	0.0	2.21694343358e-06
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0.000554169350778	0.0632787489565	0.0548088039849	0.000526524065475
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Other	0.0	3.14534843855e-06	3.37658969843e-06	0.0
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other	8.03726397067e-07	3.64860418872e-05	3.17399431652e-05	1.10847171679e-06
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0.0087156090498	0.0130903111316	0.0129559746729	0.00826698206382
