Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.0601332015758	0.00491617960946	0.00450099406801	0.0624363321558
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Other	3.69714142651e-05	5.6616271894e-06	2.02595381906e-06	3.26999156453e-05
Archaea;Euryarchaeota;Other;Other;Other;Other	6.02794797801e-06	0.0	0.0	4.98812272555e-06
Archaea;Other;Other;Other;Other;Other	4.01863198534e-07	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	4.66161310299e-05	0.0104073289135	0.00979278544339	5.15439348307e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Other	4.01863198534e-07	2.70499965716e-05	2.49867637684e-05	5.54235858395e-07
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	4.01863198534e-07	0.0	0.0	2.21694343358e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	0.0	0.0	6.75317939686e-07	1.10847171679e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Aeromicrobium	4.01863198534e-07	0.0	0.0	5.54235858395e-07
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	7.23353757361e-06	0.000398201112321	0.000314698159894	5.54235858395e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Other	0.0	6.29069687711e-07	6.75317939686e-07	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	5.62608477947e-06	0.000115748822539	9.18432397973e-05	8.31353787592e-06
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	6.42981117654e-06	3.14534843855e-06	5.40254351749e-06	5.54235858395e-06
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.000361275015482	0.0398553391346	0.0375625344412	0.000330324571603
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	1.40652119487e-05	0.000207592996945	0.000173556710499	7.20506615913e-06
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Other	0.0	0.0	4.05190763812e-06	0.0
Bacteria;Bacteroidetes;Other;Other;Other;Other	2.61211079047e-05	0.000421476690766	0.000299841165221	1.66270757518e-05
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Other	0.0	0.0	0.0	5.54235858395e-07
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	0.0	0.0	0.0	1.66270757518e-06
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.000554169350778	0.0632787489565	0.0548088039849	0.000526524065475
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Other;Other	0.0	3.14534843855e-06	3.37658969843e-06	0.0
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other;Other	8.03726397067e-07	3.64860418872e-05	3.17399431652e-05	1.10847171679e-06
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	0.0087156090498	0.0130896820619	0.0129539487191	0.00826698206382
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Viridibacillus	0.0	6.29069687711e-07	2.02595381906e-06	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0.00145514664189	0.0223231669381	0.0216824330895	0.00116722071778
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Other	1.72801175369e-05	0.000128959285981	0.000113453413867	1.60728398935e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0.00576472758297	0.00539490164181	0.00458540881047	0.00543040294055
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	2.4111791912e-06	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus	8.03726397067e-07	2.13883693822e-05	1.55323126128e-05	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other	0.001095077216	0.000818419663712	0.000749602913051	0.00108242263145
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.629914535754	0.453449786714	0.449484867476	0.652805043103
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Other	0.0	8.17790594024e-06	4.05190763812e-06	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.000100465799633	0.00833643150155	0.00813623053734	9.14489166352e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Other	4.01863198534e-07	5.03255750169e-06	2.70127175874e-06	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1.00465799633e-05	0.000184317418499	0.000133712952058	5.54235858395e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	0.000160745279413	0.00315289727481	0.00244600157754	0.000133570841873
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00551918916866	0.00342905886771	0.00307202130763	0.00498646001798
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Other	0.000684774890301	0.000222061599762	0.000197868156328	0.00064235935988
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0837012725802	0.0574472729515	0.0597305211293	0.0811805888867
Bacteria;Firmicutes;Bacilli;Other;Other;Other	0.00608139578341	0.00635108756713	0.00519522091	0.00511947662399
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerobacter	0.0	0.0	0.0	5.54235858395e-07
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0146989502128	0.0220860076658	0.0214426952209	0.0147005519081
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.0015069869945	0.00184380325468	0.0013783239149	0.0013401423056
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.0	5.03255750169e-06	7.42849733655e-06	0.0
