Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0.0600168884346	0.00489687219424	0.00447440579824	0.0623607859557
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	7.16551022194e-05	0.011816527378	0.0109494482234	7.7071627966e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	0.000404198118044	0.0402782009145	0.0378926449577	0.00035474813156
Bacteria;Bacteroidetes;Other;Other	8.31357539562e-06	0.000183663731563	0.00012478954277	6.01268019593e-06
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales	0.000719718098535	0.0679028394041	0.0578996785501	0.000632424635153
Bacteria;Deinococcus-Thermus;Deinococci;Other	0.0	1.79940818085e-05	1.40137989207e-05	5.46607290539e-07
Bacteria;Firmicutes;Bacilli;Bacillales	0.650130305397	0.496901605258	0.491066203188	0.671829554728
Bacteria;Firmicutes;Bacilli;Lactobacillales	0.0942280429566	0.0738104826075	0.074371230872	0.0905247266007
Bacteria;Firmicutes;Bacilli;Other	0.00643431147167	0.00613287946881	0.00486545752051	0.00520260819135
Bacteria;Firmicutes;Clostridia;Clostridiales	0.0164339591344	0.0241102081667	0.0228992147601	0.0162074527718
Bacteria;Firmicutes;Clostridia;Other	5.93826813973e-06	4.34339905723e-06	4.67126630689e-06	4.91946561485e-06
Bacteria;Firmicutes;Other;Other	0.00277831772031	0.0027382028628	0.00231961738325	0.00231160223169
Bacteria;Other;Other;Other	0.0226101538843	0.0138058041462	0.00799987721243	0.0130868717501
Bacteria;Proteobacteria;Alphaproteobacteria;Other	0.000201505232208	2.6680879923e-05	2.53583028088e-05	0.000144850931993
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	2.17736498457e-05	3.10242789802e-06	5.33859006502e-06	2.89701863986e-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	0.0645085944555	0.00861233984492	0.00963281844857	0.0632768997746
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	0.00135392513586	0.0191798297512	0.0179510090936	0.00134192089827
Bacteria;Proteobacteria;Betaproteobacteria;Other	2.77119179854e-06	2.9783307821e-05	3.06968928738e-05	1.09321458108e-06
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	0.00141132839454	0.0231540398885	0.0230740535848	0.00139166216171
Bacteria;Proteobacteria;Epsilonproteobacteria;Other	1.18765362795e-06	4.96388463684e-06	4.67126630689e-06	5.46607290539e-07
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	0.0472084399417	0.00772566595166	0.00704426959079	0.0429338162427
Bacteria;Proteobacteria;Gammaproteobacteria;Other	0.000659543648052	0.00124593504385	0.0013259723074	0.000493586383356
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	0.0	0.0	0.0	3.82625103377e-06
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0.0262004308016	0.194498650754	0.224278839898	0.025153774296
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	3.12748788692e-05	1.05482548533e-05	4.67126630689e-06	3.82625103377e-05
Bacteria;Proteobacteria;Other;Other	0.000247427839155	0.000395249314208	0.000408402139974	0.00018311344233
Unclassified;Other;Other;Other	0.00430999501581	0.00251358708298	0.00133264554498	0.00240835172211
