Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria	0.0601701729901	0.00492184123665	0.00450302002183	0.0624690320714
Archaea;Euryarchaeota;Other	6.02794797801e-06	0.0	0.0	4.98812272555e-06
Archaea;Other;Other	4.01863198534e-07	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria	6.71111541551e-05	0.010952103263	0.0102310667862	7.53760767417e-05
Bacteria;Bacteroidetes;Bacteroidia	0.00037534022743	0.0400629321316	0.0377360911517	0.000337529637763
Bacteria;Bacteroidetes;Flavobacteria	0.0	0.0	4.05190763812e-06	0.0
Bacteria;Bacteroidetes;Other	2.61211079047e-05	0.000421476690766	0.000299841165221	1.66270757518e-05
Bacteria;Bacteroidetes;Sphingobacteria	0.0	0.0	0.0	2.21694343358e-06
Bacteria;Deinococcus-Thermus;Deinococci	0.000554973077175	0.0633183803469	0.0548439205178	0.000527632537192
Bacteria;Firmicutes;Bacilli	0.743223883212	0.574363271389	0.568505602438	0.760927591302
Bacteria;Firmicutes;Clostridia	0.0164370085464	0.024174519029	0.0229844460772	0.016207519207
Bacteria;Firmicutes;Other	0.0037534022743	0.00242317643706	0.0019773309274	0.00331377619734
Bacteria;Other;Other	0.0320192540696	0.0232195912431	0.0149630195896	0.0211163862048
Bacteria;Proteobacteria;Alphaproteobacteria	0.0621569846436	0.00836599777687	0.00942743843802	0.0613134503067
Bacteria;Proteobacteria;Betaproteobacteria	0.00119715046843	0.0188362336591	0.017691304066	0.00119382403898
Bacteria;Proteobacteria;Deltaproteobacteria	0.0	6.29069687711e-07	0.0	0.0
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00130364421604	0.0219438379164	0.0219350019989	0.0012908153142
Bacteria;Proteobacteria;Gammaproteobacteria	0.0741759091853	0.203561289316	0.232782769128	0.0686022060804
Bacteria;Proteobacteria;Other	0.000913033187069	0.00125876844511	0.000990691417519	0.000660649143207
Unclassified;Other;Other	0.00361958182919	0.00217595204979	0.00112440436958	0.00194037974024
