Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria	0.059979799149	0.0049009310899	0.00449096279998	0.0624510905538
Archaea;Euryarchaeota;Other	4.36046626862e-06	0.0	0.0	2.19355609992e-06
Archaea;Other;Other	1.18921807326e-06	0.0	0.0	5.48389024981e-07
Bacteria;Actinobacteria;Actinobacteria	9.23626036899e-05	0.0121858301814	0.0112398018697	9.37745232717e-05
Bacteria;Bacteroidetes;Bacteroidia	0.000413055077446	0.0406554793354	0.038243198064	0.000368517424787
Bacteria;Bacteroidetes;Flavobacteria	0.0	0.0	4.01995775024e-06	0.0
Bacteria;Bacteroidetes;Other	1.90274891722e-05	0.000386555812569	0.000254597324182	8.77422439969e-06
Bacteria;Bacteroidetes;Sphingobacteria	0.0	0.0	0.0	2.19355609992e-06
Bacteria;Cyanobacteria;Cyanobacteria	3.9640602442e-07	0.0	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci	0.000744846919886	0.0682165358882	0.0582424878715	0.000661905553152
Bacteria;Firmicutes;Bacilli	0.743880085592	0.568561453052	0.564359188585	0.76298790857
Bacteria;Firmicutes;Clostridia	0.0169891693946	0.0246538088177	0.0232936451838	0.0166441552972
Bacteria;Firmicutes;Other	0.00316411288692	0.00259651155131	0.00187464029753	0.00250833140026
Bacteria;Other;Other	0.0257509317524	0.018731798628	0.0111372929471	0.0147818261684
Bacteria;Proteobacteria;Alphaproteobacteria	0.0656345310874	0.00881993583919	0.00979060710072	0.0641812579277
Bacteria;Proteobacteria;Betaproteobacteria	0.00125383225524	0.0192923667035	0.0180543002493	0.00123716564036
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00148414415543	0.0236563456679	0.023483923184	0.00145213413815
Bacteria;Proteobacteria;Gammaproteobacteria	0.0754808603279	0.204061694805	0.233574955127	0.0696508900628
Bacteria;Proteobacteria;Other	0.000764667221107	0.000729608559415	0.000584903852661	0.000522614740807
Unclassified;Other;Other	0.00434262799752	0.00255114406848	0.00137147558579	0.00244471827336
