Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria	0.0621710852166	0.00506555247634	0.0045888214643	0.0637069191869
Bacteria;Actinobacteria;Actinobacteria	4.84843013266e-05	0.0107547287106	0.0100121003265	5.28546633158e-05
Bacteria;Bacteroidetes;Bacteroidia	0.000364886164294	0.0409864118076	0.038228145651	0.000329062903869
Bacteria;Deinococcus-Thermus;Deinococci	0.000566346795668	0.0652612774144	0.0558905958317	0.000529114962871
Bacteria;Firmicutes;Bacilli	0.768557679809	0.58829772963	0.576978694956	0.776675975907
Bacteria;Firmicutes;Clostridia	0.015909538325	0.0236669469593	0.0225782512078	0.0156347504066
Bacteria;Firmicutes;Other	0.00250279307193	0.00128651029176	0.00109617989291	0.00232049021848
Bacteria;Other;Other	0.00871881487649	0.00607918647528	0.00474293921998	0.00762982639801
Bacteria;Proteobacteria;Alphaproteobacteria	0.0638705435717	0.0085743358865	0.00956293731781	0.062193457161
Bacteria;Proteobacteria;Betaproteobacteria	0.00118243179701	0.0188304273426	0.0175590107862	0.00117132753864
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00128650585761	0.0220650257008	0.0218513985492	0.00126680693044
Bacteria;Proteobacteria;Gammaproteobacteria	0.0748208902136	0.209131867305	0.236910924797	0.0684894137224
