Taxon	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered2	HMPMockV1.1.Even1
Archaea;Euryarchaeota;Methanobacteria	0.00150929607226	9.71980158198e-05	0.00175581929723	0.000131396418343
Bacteria;Actinobacteria;Actinobacteria	1.0922537365e-05	0.00117754837556	6.56517394064e-06	0.00112791615746
Bacteria;Bacteroidetes;Bacteroidia	0.000110218331592	0.0148969924476	0.000137139188982	0.013846624333
Bacteria;Bacteroidetes;Flavobacteria	0.0	0.0	0.0	1.16280016233e-06
Bacteria;Bacteroidetes;Other	0.0	2.01099343075e-05	7.29463771182e-07	5.81400081163e-06
Bacteria;Bacteroidetes;Sphingobacteria	2.97887382682e-06	0.0	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci	0.000560028279442	0.0592673280601	0.000560228176268	0.0497283117421
Bacteria;Firmicutes;Bacilli	0.843903039643	0.612096125486	0.833607854866	0.597130441759
Bacteria;Firmicutes;Clostridia	0.0196506376776	0.0284131027394	0.0200223215914	0.0264746340959
Bacteria;Firmicutes;Other	0.00132659181088	0.00157974706172	0.00189222902245	0.00107442734999
Bacteria;Other;Other	0.00114090867567	0.0019640702507	0.00229999927054	0.00112442775697
Bacteria;Proteobacteria;Alphaproteobacteria	0.0649692381629	0.00881038566385	0.0666408922801	0.00955821733433
Bacteria;Proteobacteria;Betaproteobacteria	0.00147950733399	0.0232627251195	0.00147935252796	0.0216734322256
Bacteria;Proteobacteria;Epsilonproteobacteria	0.000263133854702	0.00469790409796	0.000293244436015	0.00442678021798
Bacteria;Proteobacteria;Gammaproteobacteria	0.0648351888407	0.243478795191	0.0708674053703	0.273558040589
Bacteria;Proteobacteria;Other	0.00013107044838	0.000102784108683	0.000192578435592	8.72100121745e-05
Unclassified;Other;Other	0.000107239457766	0.00013518344729	0.000243640899575	5.11632071424e-05
