Taxon	Mock.1	Mock.3	Mock.2
k__Fungi;Other;Other;Other	0.0	0.00013104442406	0.000134444743211
k__Fungi;p__Ascomycota;Other;Other	0.0719475757164	0.0659808675141	0.0650040333423
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other	0.0	0.0	6.72223716053e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.0311354067635	0.0296815620495	0.0314600699113
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.00023767486079	0.00026208884812	0.000168055929013
k__Fungi;p__Ascomycota;c__Lecanoromycetes;Other	0.337362488116	0.314375573319	0.34569104598
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Rhizocarpales	0.242530218661	0.245577250688	0.249226942727
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales	0.000543256824664	0.000524177696239	0.000235278300618
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.199850604373	0.198794391299	0.207784350632
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.101928561728	0.133927401389	0.0886663081474
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales	0.0142265380959	0.0107456427729	0.0115286367303
k__Fungi;p__Basidiomycota;Other;Other	6.7907103083e-05	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;Other	0.000169767757707	0.0	3.36111858026e-05
