Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
Nectria_rubropeziza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60152449335e-05	0	
Stachybotrys_theobromae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	
Issatchenkia_sp_YS5	0	0	0	0	0	0	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10767709878	0.10767709878	0.10767709878	2.60152449335e-05	0	0	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10772912927	0.10767709878	0	0	0	0	0	
Penicillium_commune	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	
Other	0	0	0	0	0	0	0	0	0	0	0	0.000156091469601	0.000156091469601	0	0	0	0	0	0	0	0	0	0	0.000156091469601	0.000156091469601	0	0	0	0	0	
Pichia_burtonii	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0.0541117094617	0	0.0541117094617	0.0625	
Fusarium_sp_JJP_2009a	0	0	0	0	0	0	0.00163896043081	0.00163896043081	0.00163896043081	0.00163896043081	0.00161294518588	0.00158692994095	0.00153489945108	0.00044225916387	0.00044225916387	0.000338198184136	0.000338198184136	0.00163896043081	0.00163896043081	0.00163896043081	0.00163896043081	0.00163896043081	0.00161294518588	0.00044225916387	0.00044225916387	0.00044225916387	0.00044225916387	0.000338198184136	0	0	
Other	0	0	0	0	0	0	0	0.0798147714561	0.0798147714561	0.079840786701	0.0798668019459	0.0795806342517	0.0791904055777	0.0799968781706	0.00351205806603	0.000104060979734	0	0	0.00332995135149	0.0798147714561	0.0798147714561	0.079840786701	0.0797107104763	0.0802830458649	0.0801529696402	0.00353807331096	0.0	0	0.0809334269882	0	
Stilbella_aciculosa	0	0	0	0	0	0	2.60152449335e-05	2.60152449335e-05	0	0	0	0	0	0	0	0	0	2.60152449335e-05	0	0	0	0	0	0	0	0	0	0	0	0	
Fusarium_sp_ela1	0.000364213429069	0.000364213429069	0.000364213429069	0.000364213429069	0.000364213429069	0.000364213429069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	2.60152449335e-05	2.60152449335e-05	0	0	0	0	0	0	0	0	0	5.20304898671e-05	2.60152449335e-05	0	0	0	0	0	0	0	0	0	0	
Penicillium_sp_274	0	0	0	0	0	0	0.000104060979734	2.60152449335e-05	2.60152449335e-05	0	0	0	0	0	0	0	0	0.000104060979734	2.60152449335e-05	0	0	0	0	0	0	0	0	0	0	0	
Penicillium_sp_BF11	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
Geotrichum_sp_Po67	0	0	0	0	0	0	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0	0	0	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0.0574416608132	0	0	0	0.0574416608132	0	
Candida_fermenticarens	0	0	0	0	0	0	2.60152449335e-05	2.60152449335e-05	2.60152449335e-05	2.60152449335e-05	2.60152449335e-05	2.60152449335e-05	2.60152449335e-05	0	0	0	0	2.60152449335e-05	2.60152449335e-05	0	0	0	0	0	0	0	0	0	0	0	
Boletineae_sp_AW_2007a	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zygosaccharomyces_sp_KS3_2007	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0.0116027992404	0	0.0116027992404	0	
Penicillium_concentricum	0.0600952157965	0.0600952157965	0.0600952157965	0.0600952157965	0.0600952157965	0.0600952157965	0.0600171700617	0.0600171700617	0.0600171700617	0.0600171700617	0.0600171700617	0.00166497567575	0	0	0	0	0	0.0600171700617	0.0600171700617	0.0600171700617	0.0600171700617	0.0599911548167	0.00127474700174	0.00124873175681	0	0	0	0	2.60152449335e-05	0	
Zygosaccharomyces_rouxii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0574416608132	0	0	0	0	
