#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	7.00414995885e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Pleomorphomonas
2	otu	0.00977166471137	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella
3	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter
4	otu	0.726404579471	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium
5	otu	0.000404489660123	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Other
6	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	Other	Other
7	otu	3.50207497942e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__
8	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	Other
9	otu	1.05062249383e-05	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia
10	otu	1.05062249383e-05	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Edwardsiella
11	otu	5.25311246914e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__
12	otu	6.12863121399e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Thalassobacillus
13	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Propionispora
14	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	Other	Other
15	otu	4.29004184979e-05	HMPMockV1.1.Even1	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	Other
16	otu	1.23112469138	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__
17	otu	0.000119070549301	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
18	otu	4.11493810083e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium
19	otu	7.44190933126e-05	HMPMockV1.1.Even1	k__Bacteria	p__Actinobacteria	Other	Other	Other	Other
20	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidithiobacillales	f__Acidithiobacillaceae	g__
21	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__
22	otu	1.40082999177e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus
23	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__
24	otu	5.07800872016e-05	HMPMockV1.1.Even1	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__
25	otu	0.0467369416379	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	Other
26	otu	2.53900436008e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Tetragenococcus
27	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__
28	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Octadecabacter
29	otu	5.25311246914e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__
30	otu	0.167531387347	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	Other
31	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium
32	otu	0.355398297065	HMPMockV1.1.Even1	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
33	otu	0.000105062249383	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas
34	otu	0.000223257279938	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Other	Other	Other
35	otu	0.319340018719	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter
36	otu	0.000508676390762	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Anaerobacillus
37	otu	2.18879686214e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Macrococcus
38	otu	1.75103748971e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Gracilibacteraceae	g__
39	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__OP9	c__OPB46	o__	f__	g__
40	otu	0.000152340261605	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Azorhizophilus
41	otu	3.50207497942e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophaceae	g__Smithella
42	otu	1.78928977919	HMPMockV1.1.Even1	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus
43	otu	0.110074594197	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	Other	Other
44	otu	3.32697123045e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__02d06
45	otu	9.63070619341e-06	HMPMockV1.1.Even1	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	Other	Other
46	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Aminobacter
47	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	Other
48	otu	0.0897581817227	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	Other	Other	Other
49	otu	4.53960310802	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
50	otu	6.6539424609e-05	HMPMockV1.1.Even1	Unknown	Other	Other	Other	Other	Other
51	otu	0.000214316	HMPMockV1.1.Even1	k__Bacteria	p__Thermi	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus
52	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__[Chromatiaceae]	g__
53	otu	0.000115568474321	HMPMockV1.1.Even1	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Deinococcaceae	Other
54	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella
55	otu	4.37759372428e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Kurthia
56	otu	0.000214316	HMPMockV1.1.Even1	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Incertae_sedis	g__Candida
57	otu	7.00414995885e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__
58	otu	5.25311246914e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Gracilibacteraceae	g__Gracilibacter
59	otu	5.60331996708e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus
60	otu	0.0262445498958	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	Other
61	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__	g__
62	otu	8.75518744856e-07	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__
63	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodovulum
64	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Brenneria
65	otu	5.25311246914e-06	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus
66	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Syntrophomonas
67	otu	6.12863121399e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	Other	Other	Other
68	otu	2.53900436008e-05	HMPMockV1.1.Even1	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus
69	otu	5.25311246914e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Trabulsiella
70	otu	0.000105062249383	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium
71	otu	1.8385893642e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Planomicrobium
72	otu	3.85228247737e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	Other
73	otu	0.000316937785638	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	Other
74	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira
75	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Natranaerobiales	f__Natranaerobiaceae	g__
76	otu	0.0	HMPMockV1.1.Even1	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus
77	otu	1.75103748971e-05	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus
78	otu	7.79211682924e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__
79	otu	0.0335069778844	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__	g__
80	otu	0.0139583953492	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	f__	g__
81	otu	8.93029119753e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Ureibacillus
82	otu	0.216056827688	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
83	otu	1.75103748971e-05	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Desulfosporosinus
84	otu	0.000193489642613	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia
85	otu	8.75518744857e-06	HMPMockV1.1.Even1	k__Bacteria	p__OctSpA1-106	c__	o__	f__	g__
86	otu	0.0318292936139	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
87	otu	0.720459015142	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter
88	otu	1.92614123868e-05	HMPMockV1.1.Even1	k__Bacteria	p__Bacteroidetes	Other	Other	Other	Other
89	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Nitrospinaceae	g__
90	otu	2.62655623457e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	Other
91	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Piscirickettsiaceae	g__
92	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Other	Other	Other
93	otu	4.37759372428e-06	HMPMockV1.1.Even1	k__Bacteria	p__Armatimonadetes	c__SJA-176	o__	f__	g__
94	otu	4.81535309671e-05	HMPMockV1.1.Even1	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	Other	Other
95	otu	14.0629857486	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus
96	otu	0.000129576774239	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__
