#NodeID	NodeType	Abundance	Color	Size	Shape
blast_1.0	sample	4.0	blast	4.0	blast_1.0
rtax_single	sample	4.0	rtax	4.0	rtax_single
rdp_0.6	sample	4.0	rdp	4.0	rdp_0.6
rdp_0.7	sample	4.0	rdp	4.0	rdp_0.7
rdp_0.4	sample	4.0	rdp	4.0	rdp_0.4
rdp_0.5	sample	4.0	rdp	4.0	rdp_0.5
rdp_0.2	sample	4.0	rdp	4.0	rdp_0.2
rdp_0.3	sample	4.0	rdp	4.0	rdp_0.3
rdp_0.0	sample	4.0	rdp	4.0	rdp_0.0
rdp_0.1	sample	4.0	rdp	4.0	rdp_0.1
Expected	sample	3.53251613	Expected	3.53251613	Expected
blast_1e-06	sample	4.0	blast	4.0	blast_1e-06
rdp_0.8	sample	4.0	rdp	4.0	rdp_0.8
rdp_0.9	sample	4.0	rdp	4.0	rdp_0.9
mothur_1.0	sample	4.0	mothur	4.0	mothur_1.0
rtax_paired	sample	4.0	rtax	4.0	rtax_paired
blast_1e-30	sample	4.0	blast	4.0	blast_1e-30
blast_100.0	sample	4.0	blast	4.0	blast_100.0
blast_1e-10	sample	4.0	blast	4.0	blast_1e-10
blast_0.0001	sample	4.0	blast	4.0	blast_0.0001
rdp_1.0	sample	4.0	rdp	4.0	rdp_1.0
mothur_0.8	sample	4.0	mothur	4.0	mothur_0.8
mothur_0.9	sample	4.0	mothur	4.0	mothur_0.9
mothur_0.4	sample	4.0	mothur	4.0	mothur_0.4
mothur_0.5	sample	4.0	mothur	4.0	mothur_0.5
mothur_0.6	sample	4.0	mothur	4.0	mothur_0.6
mothur_0.7	sample	4.0	mothur	4.0	mothur_0.7
mothur_0.0	sample	4.0	mothur	4.0	mothur_0.0
mothur_0.1	sample	4.0	mothur	4.0	mothur_0.1
mothur_0.2	sample	4.0	mothur	4.0	mothur_0.2
mothur_0.3	sample	4.0	mothur	4.0	mothur_0.3
344	otu	20.3885748541	p__Firmicutes	20.3885748541	f__Staphylococcaceae_g__Staphylococcus
345	otu	2.9938366016e-05	p__Firmicutes	2.9938366016e-05	f__Carnobacteriaceae_g__
346	otu	3.90500426296e-06	p__Proteobacteria	3.90500426296e-06	f___g__
347	otu	0.0	p__Proteobacteria	0.0	f__125ds10_g__
340	otu	3.90500426296e-06	p__Proteobacteria	3.90500426296e-06	f__Piscirickettsiaceae_g__
341	otu	6.50834043826e-06	p__Proteobacteria	6.50834043826e-06	Other_Other
342	otu	3.25417021913e-06	p__Armatimonadetes	3.25417021913e-06	f___g__
343	otu	1.95250213148e-06	p__Bacteroidetes	1.95250213148e-06	Other_Other
810	otu	1.33119159397e-05	p__Proteobacteria	1.33119159397e-05	f__Rhodobacteraceae_g__Rhodovulum
811	otu	2.21865265661e-06	p__Proteobacteria	2.21865265661e-06	f__Enterobacteriaceae_g__Brenneria
812	otu	4.43730531323e-06	p__Firmicutes	4.43730531323e-06	f__Paenibacillaceae_g__Brevibacillus
813	otu	2.21865265661e-05	p__Firmicutes	2.21865265661e-05	f__Syntrophomonadaceae_g__Syntrophomonas
348	otu	6.50834043825e-06	p__Proteobacteria	6.50834043825e-06	f__Chromatiaceae_g__Chromatium
349	otu	2.6033361753e-06	p__Proteobacteria	2.6033361753e-06	f__Alteromonadaceae_g__Microbulbifer
816	otu	0.0	p__Proteobacteria	0.0	f__Enterobacteriaceae_g__Trabulsiella
817	otu	0.0	p__Firmicutes	0.0	f__Ruminococcaceae_g__Faecalibacterium
