	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
blast_100.0	0.0	0.0	0.0	0.0	0.0	5.8865512899e-07	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
blast_0.0001	0.0	0.0	0.0	0.0	0.0	5.8865512899e-07	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
blast_1e-06	0.0	0.0	0.0	0.0	0.0	5.8865512899e-07	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
blast_1.0	0.0	0.0	0.0	0.0	0.0	5.8865512899e-07	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
blast_1e-10	0.0	0.0	0.0	0.0	0.0	5.8865512899e-07	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
blast_1e-30	5.8865512899e-07	5.8865512899e-07	5.8865512899e-07	5.8865512899e-07	5.8865512899e-07	0.0	0.117334709462	0.117339065302	0.117403491137	0.117483937802	0.118125170866	0.118906624777	0.119952059715	0.143738611956	0.140602889723	0.175409731893	0.258595820088	0.117336218566	0.117336925572	0.11738530579	0.117867665086	0.118030890199	0.118668864314	0.125210247007	0.147294144409	0.162852354837	0.175685369403	0.223897195703	0.105005027654	0.105179716356	0.686387439773
mothur_0.0	0.117334709462	0.117334709462	0.117334709462	0.117334709462	0.117334709462	0.117334709462	0.0	7.03700098466e-05	0.000349890000261	0.000998773232393	0.00241984470146	0.00438975859515	0.00877237128165	0.0357035242747	0.0336644591026	0.0708248679543	0.158373596518	4.46570578011e-06	7.66626053513e-05	0.000302676634025	0.00123127015167	0.00206102933066	0.00666919344104	0.0163212591688	0.0389428423856	0.0558832427112	0.0693852183455	0.123734090306	0.114122619338	0.115437099343	0.669570516071
mothur_0.1	0.117339065302	0.117339065302	0.117339065302	0.117339065302	0.117339065302	0.117339065302	7.03700098466e-05	0.0	0.000282595883329	0.000960776222811	0.0023816809939	0.00435195828605	0.00873497473996	0.035666127733	0.0336325145928	0.0707953609769	0.158343304185	7.33542262749e-05	3.0664370939e-05	0.000234752921035	0.00116308957756	0.00202304413384	0.00663139950893	0.0162838626271	0.0389052831354	0.055845683461	0.0693557113681	0.12370322113	0.114103536189	0.115422687432	0.669571504655
mothur_0.2	0.117403491137	0.117403491137	0.117403491137	0.117403491137	0.117403491137	0.117403491137	0.000349890000261	0.000282595883329	0.0	0.000686530180879	0.00210746112064	0.00407659307622	0.0084638797122	0.0353959424187	0.0333763559014	0.0705486904783	0.158095882323	0.000350848430906	0.00027949363009	9.86846001606e-05	0.000886676143274	0.00174843230593	0.00635641045154	0.0160133000833	0.0386418621879	0.0555814670611	0.0691090408695	0.123455961977	0.113995284908	0.115345764632	0.669581781807
mothur_0.3	0.117483937802	0.117483937802	0.117483937802	0.117483937802	0.117483937802	0.117483937802	0.000998773232393	0.000960776222811	0.000686530180879	0.0	0.00143546957099	0.00340449959776	0.00779314450915	0.0348083638405	0.0327889553532	0.0699592643687	0.157505857192	0.000998773232484	0.000957238597741	0.000738119370353	0.000651553523948	0.00111735863771	0.00569276506167	0.0154483469553	0.0380770634052	0.054995943165	0.0685232409573	0.122869043032	0.113968975072	0.115347716108	0.669604561092
mothur_0.4	0.118125170866	0.118125170866	0.118125170866	0.118125170866	0.118125170866	0.118125170866	0.00241984470146	0.0023816809939	0.00210746112064	0.00143546957099	0.0	0.00204623809535	0.00646611550887	0.0335813029406	0.0315011883031	0.0686550461888	0.156159601544	0.00241984470155	0.00237767104552	0.00215978718201	0.00123629733632	0.000406066807291	0.00437737159417	0.0142566446353	0.0368858535694	0.0538493052584	0.0672714045652	0.121522417609	0.114160932052	0.115637214803	0.669694295244
