pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
blast_100.0	-0.0187184507289	0.101419591294	-0.028282088724	0.00222674544155	-0.0015254285407	-0.00229186220861	7.93901416572e-05	0.000419183795103	-0.000475037205832	-4.57313330425e-05	2.57678175684e-05	4.99402480744e-05	-1.62992044167e-05	-3.02712280611e-06	-6.66881674941e-06	2.50171519527e-06	-1.39199306336e-06	-8.0892820763e-07	-1.19605390895e-08	-9.31584637672e-09	5.86594433839e-10	4.83714234331e-09	-2.05951123825e-09	-1.01120106471e-11	2.40683427331e-11	9.80936392441e-08	-0	4.62155364246e-09	0.0	-0	0.0
blast_0.0001	-0.0187184507289	0.101419591294	-0.028282088724	0.00222674544155	-0.0015254285407	-0.00229186220861	7.93901416572e-05	0.000419183795103	-0.000475037205832	-4.57313330423e-05	2.57678175685e-05	4.99402480743e-05	-1.62992044168e-05	-3.02712280604e-06	-6.66881674852e-06	2.50171519412e-06	-1.39199306444e-06	-8.08928207306e-07	-1.19605386434e-08	-9.31583872771e-09	5.86604252101e-10	4.8371338173e-09	-2.05950521442e-09	-1.0042880054e-11	2.41941173587e-11	9.81261174241e-08	-1.56616750349e-09	-9.31466068966e-10	-2.4074070262e-10	1.17607804982e-09	8.57337867714e-11
blast_1e-06	-0.0187184507289	0.101419591294	-0.028282088724	0.00222674544155	-0.0015254285407	-0.00229186220861	7.93901416571e-05	0.000419183795103	-0.000475037205832	-4.57313330428e-05	2.57678175685e-05	4.99402480748e-05	-1.62992044167e-05	-3.02712280647e-06	-6.66881674987e-06	2.50171519409e-06	-1.39199306481e-06	-8.08928208341e-07	-1.19605397949e-08	-9.31585002507e-09	5.86591490728e-10	4.83715782764e-09	-2.05950925477e-09	-1.00673275204e-11	2.39229058488e-11	9.80603867337e-08	-4.56580515139e-09	-9.31342077553e-10	1.89879422814e-09	-4.63082768279e-10	-7.5720084427e-11
blast_1.0	-0.0187184507289	0.101419591294	-0.028282088724	0.00222674544155	-0.0015254285407	-0.00229186220861	7.93901416572e-05	0.000419183795103	-0.000475037205832	-4.57313330424e-05	2.57678175684e-05	4.99402480744e-05	-1.62992044168e-05	-3.02712280622e-06	-6.66881674895e-06	2.50171519444e-06	-1.39199306385e-06	-8.08928208168e-07	-1.19605390923e-08	-9.31584482786e-09	5.86596005196e-10	4.83713949891e-09	-2.05951067919e-09	-1.00957378281e-11	2.40791859308e-11	9.815611282e-08	2.51394320279e-10	-9.31522650929e-10	-1.54740361549e-09	-5.80091589151e-10	3.02826472949e-10
blast_1e-10	-0.0187184507289	0.101419591294	-0.028282088724	0.00222674544155	-0.0015254285407	-0.00229186220861	7.93901416572e-05	0.000419183795103	-0.000475037205832	-4.57313330424e-05	2.57678175685e-05	4.99402480744e-05	-1.62992044168e-05	-3.02712280617e-06	-6.66881674911e-06	2.50171519457e-06	-1.39199306378e-06	-8.08928207795e-07	-1.1960538939e-08	-9.31584478277e-09	5.86595639028e-10	4.83713891872e-09	-2.05951059212e-09	-1.00907675372e-11	2.41074786362e-11	9.81719978563e-08	8.37720152961e-10	-9.31552615745e-10	-2.10059044985e-09	-1.29462731574e-10	-3.07053600689e-10
blast_1e-30	-0.0187184507289	0.101419591293	-0.0282820887228	0.00222674544113	-0.00152542854008	-0.0022918622099	7.93901415734e-05	0.000419183795563	-0.000475037204936	-4.57313332563e-05	2.57678177216e-05	4.99402475697e-05	-1.62992046775e-05	-3.02712270615e-06	-6.6688173845e-06	2.50171607225e-06	-1.3919925608e-06	-8.08927131044e-07	-1.19604814824e-08	-9.31579637912e-09	5.86630436714e-10	4.83779310563e-09	-2.05910609023e-09	-1.00659150995e-11	2.46709634649e-11	-4.90534303877e-07	-1.00869760685e-09	1.78956425243e-10	-3.9886183875e-10	7.03232804206e-13	1.15821364761e-12
mothur_0.0	-0.0138233066558	-0.010336365453	0.00550824346111	-0.00761008333194	0.00201515154186	0.00235274107858	-0.00312012345883	0.000302821320197	0.00338135842895	-0.00103768402999	0.000849734488365	-0.000874858172029	-0.00033618576339	0.00068783097149	0.000317984772059	0.000128091377817	4.91121988578e-05	0.000119254767763	3.27752944402e-05	8.50565653529e-05	3.26493952991e-05	2.96135258207e-05	-6.23691210009e-07	6.02042181065e-06	-5.26303745345e-06	1.23019940273e-11	-1.00859254786e-09	1.79104434721e-10	-3.98133749932e-10	6.90715963824e-13	1.15746578198e-12
mothur_0.1	-0.0138263665594	-0.0103496340839	0.00551909501069	-0.00757254420446	0.00196935591464	0.00244717145042	-0.00310502647823	0.000271791398542	0.00330803825059	-0.00100427706223	0.000817052002928	-0.000844995614196	-0.000364398096732	0.00062894644978	0.000301200011167	0.000122167968107	4.98537865391e-05	6.48815318895e-05	-3.13104300189e-05	3.04573634077e-05	7.78843185178e-06	-4.22921382615e-05	-7.303420988e-06	1.61264846387e-05	1.59468093752e-06	1.23299791224e-11	-1.00859265669e-09	1.79104450161e-10	-3.98133726413e-10	6.90692299777e-13	1.15746435379e-12
mothur_0.2	-0.0138518143508	-0.0104772863349	0.00559713393216	-0.00730807181085	0.00161282204122	0.00309732145977	-0.00301251464067	4.27442348273e-05	0.00278838132724	-0.00082827859099	0.000530171647857	-0.000525135518287	-0.000404315411598	0.000306673222616	0.000122357115323	-1.41526259888e-06	6.09965748155e-05	-5.25723828664e-05	7.34348425496e-06	-5.475797557e-05	-8.31644617687e-05	1.57680978806e-05	-3.79737573023e-05	-1.39792933839e-06	2.01645246357e-07	1.23246124822e-11	-1.00859263144e-09	1.79104441655e-10	-3.98133727727e-10	6.90698540504e-13	1.15746467987e-12
mothur_0.3	-0.0139103509132	-0.0107664347374	0.0054902116293	-0.00677394185797	0.000831149049383	0.00444676889794	-0.00285134446596	-0.000453903392865	0.0016333345497	-0.000602986436279	3.83036824107e-05	9.4730107344e-05	-0.00031656774723	-6.1449922051e-05	-0.00010866324583	-0.000269875481467	-8.90528557501e-07	-0.000177431862399	0.000262749102606	-0.00019392764104	3.91453738463e-05	-3.74483034483e-06	8.89703165128e-07	1.55973686208e-07	4.34374441207e-08	1.2324882817e-11	-1.00859263232e-09	1.7910444259e-10	-3.98133729668e-10	6.90698756021e-13	1.15746469731e-12
