Precison-Recall Output 
Values: precision,recall,f-measure,true positive, false positive,false negative
Set	Level_Method	Level	Method	Sample	P	R	F	TP	FP	FN
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
