Precison-Recall Output 
Values: precision,recall,f-measure,true positive, false positive,false negative
Set	Level_Method	Level	Method	Community	Sample	P	R	F	TP	FP	FN
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.2.Staggered2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.2.Staggered1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.1.Even2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.1.Even1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-3	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-3	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-3	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-3	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-1	Even1	0.16	1	0.275862068965517	4	21	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-1	Even2	0.16	1	0.275862068965517	4	21	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-1	Even3	0.16	1	0.275862068965517	4	21	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-3	Even4	0.571428571428571	1	0.727272727272727	4	3	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-3	Even1	0.571428571428571	1	0.727272727272727	4	3	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Turnbaugh-3	Even3	0.571428571428571	1	0.727272727272727	4	3	0
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.2.Staggered2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 rtax_paired	2 rtax_paired	2	rtax_paired	Broad-2	HMPMockV1.2.Staggered1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
