#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29
Mock.3;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Candida;s__Candida_catenulata	-0.00755256446655	-0.0231140208367	0.0106298426004	-0.0102942575362	0.0064180328961	-0.000723537721964	0.00136977175708	0.00368561170884	-0.00139045141619	-0.00167791228161	0.000474572828287	0.000393258396349	-3.91377300235e-05	0.00014972817455	-0.000181204970168	-8.14484313327e-06	-0.000369123718241	-0.000117821502975	-1.93727636124e-05	-2.80298259416e-05	-8.91304824823e-06	9.00499745655e-07	2.12713727791e-07	1.31931740745e-07	-3.39366216022e-10	-5.70658041508e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768857e-11	2.53932524748e-11
Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Candida;s__Candida_catenulata	-0.00779383791187	-0.0230131167485	0.0105077334547	-0.00982729698802	0.00636917127695	-0.000690806317273	0.00138152390903	0.00371010107899	-0.00139168561102	-0.00166116200701	0.000487515301691	0.00039697193678	-4.03716939068e-05	0.000147303383607	-0.000179276791332	-1.04717723289e-05	-0.000374046772059	-0.000117906386264	-2.10228788861e-05	-2.74841095478e-05	-8.06314416632e-06	8.95702725235e-07	2.16507254245e-07	1.31356206711e-07	-3.39366216022e-10	-5.70658041508e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768857e-11	2.53932524748e-11
Mock.1;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Candida;s__Candida_catenulata	-0.00779129163498	-0.0230032998567	0.0105120283446	-0.00982501567243	0.00637007991783	-0.0006923652977	0.00138021743812	0.003708791519	-0.00139441342992	-0.00166413872679	0.00048859775204	0.000397050761347	-4.08647066906e-05	0.000147158677318	-0.000179819530914	-1.03811521991e-05	-0.000373507310541	-0.000118181535008	-2.11162863274e-05	-2.76853874447e-05	-8.13988240701e-06	8.92080686721e-07	2.15844242877e-07	1.30940232218e-07	-3.39366216022e-10	-5.70658041508e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768857e-11	2.53932524748e-11
Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces;s__Galactomyces_geotrichum	-0.195621514629	-0.017004240743	-0.00659079523252	0.0113922084611	-0.00172930231725	-0.00447769377132	0.00106584867742	-0.000975129622895	0.00120240996479	-0.00173405661257	-0.000831194515504	-0.00103240646884	0.000735110290676	0.000176320673673	-0.000621692218095	0.00073651605814	0.000752555519084	-2.88088762039e-05	0.000253294177966	-8.67090689935e-05	-0.000113316310796	-1.13603648473e-06	-8.87522839369e-07	-2.72194383656e-07	-3.39366216023e-10	-5.70658041508e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768858e-11	2.53932524746e-11
Mock.3;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces;s__Galactomyces_geotrichum	-0.20341402161	-0.00733976764924	-0.00104138368293	0.0121349686092	-0.000344742551863	-0.00375884706251	0.0015813148933	-0.000601146843133	0.00167247606243	-0.000738378156558	-0.000902781283488	-0.00142923987684	0.000614569841238	9.48764212072e-05	-0.000442705865975	0.000854469756953	0.000808232243707	0.000125499017592	0.000268841090398	-6.03483080498e-05	-0.00010690292684	-3.04947763975e-06	-1.12787598229e-06	-5.2270316977e-07	-3.39366216023e-10	-5.70658041509e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768858e-11	2.53932524747e-11
Mock.1;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces;s__Galactomyces_geotrichum	-0.194757370813	-0.0162153438242	-0.0060141114819	0.0130488745887	-0.00151122238185	-0.00381479205377	0.00130393706708	-0.000785069692157	0.00125837830631	-0.00143682878663	-0.000838682490468	-0.00112689938669	0.000601878671799	0.000124067940569	-0.000541089226276	0.000730531915772	0.000786641493077	1.7696870627e-05	0.000272592162707	-7.96767523933e-05	-0.000125909937505	-2.16926688475e-06	-1.0216750439e-06	-3.96441689066e-07	-3.39366216023e-10	-5.70658041509e-10	-2.61255553012e-09	3.05423396573e-11	6.81253768858e-11	2.53932524747e-11
Mock.2;k__Fungi;Other;Other;Other;Other;Other;Other	0.295138177692	0.413419386136	-0.149044662711	-0.0417580904336	0.00567234895026	0.0110003176593	0.00227692278475	-0.000744849371762	-0.00115902096201	-0.000515252164251	0.000443280629351	6.13615002481e-05	0.000658017760599	-0.000238066065385	-0.000588490668749	-6.8238239909e-05	0.00051209951342	-0.000304765532527	0.000368043935063	-0.000111443292604	-6.147802753e-05	-3.06955747401e-06	-8.00901845375e-07	-3.76659091297e-07	-3.39366216022e-10	-5.70658041507e-10	-2.61255553012e-09	3.05423396576e-11	6.81253768856e-11	2.53932524751e-11
Mock.1;k__Fungi;Other;Other;Other;Other;Other;Other	0.29366739335	0.417985030608	-0.154716653712	-0.043641160815	0.00571693951539	0.0121834153893	0.00317205679162	0.000488355491841	-0.000855432527952	-0.000246572976721	0.000223037344609	0.000128130325586	0.000785535117319	-0.00017218015906	-0.000320947885028	-0.000190043510403	0.000434889799904	-0.000304923878483	0.000432913325019	-0.00010954751988	-4.15709929616e-05	-3.06418085114e-06	-6.9238290922e-07	-3.3086403511e-07	-3.39366216022e-10	-5.70658041507e-10	-2.61255553012e-09	3.05423396576e-11	6.81253768856e-11	2.53932524751e-11
Mock.3;k__Fungi;Other;Other;Other;Other;Other;Other	0.293678186106	0.414604618197	-0.153422081552	-0.0434873182148	0.00579319297878	0.0119149141218	0.00310269854513	0.000851605525014	-0.000627450931657	0.000153047486049	0.000204756204014	8.62455706701e-05	0.000950641600863	-6.26677679706e-05	-0.000143136848971	-0.000253514800477	0.000364836696452	-0.000204745099682	0.000392874638322	-9.4932584222e-05	-1.30704115626e-05	-3.677847005e-06	-5.24369222175e-07	-3.82803563499e-07	-3.39366216022e-10	-5.70658041507e-10	-2.61255553012e-09	3.05423396576e-11	6.81253768856e-11	2.53932524751e-11
Mock.3;k__Fungi;p__Ascomycota;Other;Other;Other;Other;Other	0.202071684562	0.017953681978	0.0458289038947	-0.00315206492532	-0.0394914451473	-0.0102905390857	0.00218790642532	0.0023475757593	0.0025388459671	-0.00155714641426	-0.00136813098707	-0.000348118492194	-0.00054456455288	-9.42510911946e-05	-1.7586026931e-05	0.000623819639201	0.000585987744521	9.86798860723e-05	4.74492882656e-05	-9.79004302859e-05	-7.96559229895e-05	-1.85459415746e-06	-5.88669265271e-07	-4.08720036787e-07	-3.39366216022e-10	-5.70658041507e-10	-2.61255553012e-09	3.05423396576e-11	6.81253768856e-11	2.53932524751e-11
