Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
g__	4.00860513903e-05	4.00860513903e-05	4.00860513903e-05	4.00860513903e-05	4.00860513903e-05	4.00860513903e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Treponema	0	0	0	0	0	0	1.33620171301e-05	1.33620171301e-05	0	0	0	0	0	0	0	0	0	1.33620171301e-05	1.33620171301e-05	1.33620171301e-05	0	0	0	0	0	0	0	0	0	0	0	
g__Aquitalea	0	0	0	0	0	0	1.33620171301e-05	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.33620171301e-05	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	
g__Clostridium	0.0816419246649	0.0816419246649	0.0816419246649	0.0816419246649	0.0816419246649	0.0816419246649	0.0871337137054	0.0871203516883	0.0870802656369	0.086986731517	0.0865324229346	0.0678790470209	0.0675583586098	0.0650195753551	0.0653269017491	0.0594743382461	2.67240342602e-05	0.0871337137054	0.0871203516883	0.0870802656369	0.0869199214313	0.0865324229346	0.085757425941	0.0657812103315	0.065620866126	0.0624139820147	0.0600355429656	2.67240342602e-05	0.0202701799864	0.0203236280549	0.1764	
Other	0	0	0	0	0	0	0	0	0	0	0.0	2.67240342602e-05	0.000334050428253	0.0	0.0	0.0	8.01721027806e-05	0	0	0	0	2.67240342602e-05	2.67240342602e-05	0.0	0.0	0.0	0	0.000146982188431	0	0	0	
g__	0.0179852750571	0.0179852750571	0.0179852750571	0.0179852750571	0.0179852750571	0.0179585510229	2.67240342602e-05	2.67240342602e-05	2.67240342602e-05	0	0	0	0	0	0	0	0	2.67240342602e-05	2.67240342602e-05	2.67240342602e-05	0	0	0	0	0	0	0	0	2.67240342602e-05	2.67240342602e-05	0	
Other	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__	2.67240342602e-05	2.67240342602e-05	2.67240342602e-05	2.67240342602e-05	2.67240342602e-05	1.33620171301e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Bifidobacterium	0.138417135451	0.138417135451	0.138417135451	0.138417135451	0.138417135451	0.138256791245	0.138203343177	0.138203343177	0.138203343177	0.138176619142	0.138149895108	0.138016274937	0.137682224509	0.136853779447	0.136546453053	0.118921952458	0.116075842809	0.138203343177	0.138203343177	0.138203343177	0.138203343177	0.138109809057	0.137936102834	0.137708948543	0.137080933738	0.136533091035	0.135651197905	0.115634896244	0.138350325365	0.138350325365	0.1176	
Other	0	0	0	0	0	0	0	2.67240342602e-05	0	0	0	0	0	0	0	0	0	0	2.67240342602e-05	0	0	0	0	0	0	0	0	0	0	0	0	
