Taxon	EUK.Mock.1
Root;Other;Other;Other;Other	0.00408274616419
Root;k__Bacteria;Other;Other;Other	0.00060206395048
Root;k__Bacteria;p__Fusobacteria;c__Fusobacteria;Other	3.7628996905e-05
Root;k__Bacteria;p__Proteobacteria;Other;Other	0.15149434154
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	0.000244588479883
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Neisseria	0.0227279141306
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;Other	2.82217476788e-05
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;g__Campylobacter	0.00718713840886
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.0991147778478
Root;k__Eukaryota;Other;Other;Other	0.0391623785289
Root;k__Eukaryota;p__Fungi;Other;Other	0.00466599561622
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;Other	0.000366882719824
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium	0.0135840678827
Root;k__Eukaryota;p__Fungi;c__Dikarya;Other	0.159819757105
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora	0.017836144533
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex	0.000122294239941
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces	0.252838637454
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichophyton	0.0117496542836
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;Other	0.20413730821
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus	0.000385697218276
Root;k__Eukaryota;p__Metazoa;Other;Other	0.000103479741489
Root;k__Eukaryota;p__Metazoa;c__Chordata;Other	0.00302913425085
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Homo	0.00579486552337
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;Other	0.000884281427268
