#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29
Even4;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0239258746623	-0.00493957304037	-0.000530382382057	0.00145242208705	-0.000448412534312	-0.000352828271493	-0.000138527313328	5.52912604266e-05	-7.93789057476e-06	-1.348245154e-05	7.4572416265e-05	7.25840133105e-06	4.63448942309e-05	-5.78973716139e-06	7.82673876464e-06	1.18485935164e-05	-8.23784086413e-06	-6.48194655139e-06	-2.64159339173e-06	-2.58853041674e-06	-1.26027527745e-07	-3.31386738903e-08	1.69624934379e-08	-1.67026939669e-08	-9.58188761159e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0252555128538	-0.00531211515212	-0.000220333998872	0.00152345271408	-0.000434651211897	-0.000348470934526	-0.000160130349947	4.31306497745e-05	3.00185724982e-06	-1.75758444771e-05	7.99950165624e-05	7.05060705869e-06	5.05809891178e-05	-5.43346942284e-06	1.03013471612e-05	1.43201722669e-05	-9.47383085303e-06	-7.35144053417e-06	-3.02616118728e-06	-3.0241916939e-06	-1.39276284299e-07	-3.16697225086e-08	1.64476821849e-08	-1.68087811269e-08	-7.55258095215e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00973245437628	-0.000442605996548	-0.00203834743568	0.000261230978161	-0.000251471093184	-0.000261386996105	8.98559074061e-06	-2.51310101404e-05	6.26998596885e-05	-9.28760843973e-06	5.411008819e-05	4.93447693013e-05	4.25555159262e-05	-8.97712728872e-06	-1.71854276143e-05	-6.89042319259e-06	3.84032504602e-06	1.80511847079e-06	4.99120041853e-07	7.57554444821e-07	1.45379928271e-07	-1.9778057928e-09	-1.56870637902e-08	1.44463590559e-08	-4.89799258332e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0248779058192	-0.00535234231007	-1.2210406423e-06	0.00155698655697	-0.000487303963761	-0.000523086142491	-0.000180097272624	3.47278882525e-05	1.05960211796e-05	-1.52419302319e-05	7.75920780767e-05	1.76752094757e-06	4.71321356205e-05	-4.79558574081e-06	1.25736853312e-05	1.55513388779e-05	-9.83231966039e-06	-8.06073968847e-06	-3.43467678218e-06	-3.19436778427e-06	-1.61917976971e-07	-4.94622760903e-08	2.81595818745e-08	-1.9919578595e-08	-1.20599439831e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even4;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.0102705868973	-0.00069685157218	-0.00187495387698	0.000336056752159	-0.000257921443868	-0.000244425594659	2.04454299491e-06	-3.58752476137e-05	7.2524842696e-05	-8.57166799686e-06	6.13803401183e-05	5.60221870016e-05	4.82056574754e-05	-1.08220865163e-05	-1.94664436848e-05	-8.14695069896e-06	4.14401573336e-06	2.30458813791e-06	4.39451068274e-07	6.26746270092e-07	1.40912008303e-07	-3.07389045249e-09	-1.90048102262e-08	1.27887358554e-08	-7.28477830095e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00993136991708	-0.000723447291403	-0.00173878448677	0.000339594479414	-0.000254691418835	-0.000264708233978	1.60785392538e-06	-2.71650847749e-05	6.42657407321e-05	-6.85572898393e-06	5.60170162282e-05	5.01087068258e-05	4.3504415291e-05	-9.63280980075e-06	-1.76054068088e-05	-7.53671712128e-06	3.65410882888e-06	1.90705793763e-06	4.83372381567e-07	6.36280359084e-07	1.33501430377e-07	-7.08883023878e-09	-1.37071162199e-08	1.22466492316e-08	-7.18152158167e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0146144916726	-0.0104023675829	0.0128523649253	-0.00235856558859	-0.00190489682547	0.000266276403772	-2.67242976675e-05	0.000440045362402	0.000156242037451	-9.65935275888e-05	0.000106018886031	5.57391612874e-05	-1.89726098498e-05	-1.46701751245e-05	-1.88611235988e-05	-5.39573048017e-06	2.03089509912e-05	1.38826804373e-05	1.62567460329e-06	1.14744195132e-05	9.25343347452e-07	-6.06400510203e-08	-2.59881263485e-08	9.39226366549e-08	-3.98121187747e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0159584514034	-0.011686061359	0.0152534490395	-0.00193392367846	-0.00178388014465	0.000227078139243	-4.48243182819e-05	0.000449095882893	0.000184253210319	-8.5461100858e-05	0.000109024449464	5.16651137014e-05	-2.58418680248e-05	-1.73483624147e-05	-1.75828215328e-05	-4.44074923359e-06	1.87430510435e-05	1.46794905056e-05	1.25583625569e-06	1.08298110074e-05	8.43745283009e-07	-7.57182915658e-08	-2.23466384549e-08	7.79728712402e-08	-5.21955652358e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0176803156661	-0.0132080385794	0.0174900232428	-0.00169853410252	-0.00154571022353	0.00015904785966	-4.65154099175e-05	0.000441330300924	0.000229280485315	-7.91291881826e-05	0.000109839999596	4.62644603196e-05	-3.74740031822e-05	-2.05646365579e-05	-1.67422088504e-05	-3.16657197129e-06	1.77457896752e-05	1.55535704108e-05	1.51750348305e-06	1.06753619831e-05	8.12946774541e-07	-6.89551759041e-08	-3.24874655548e-08	7.03497113806e-08	-5.66037478293e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	-0.0205107511576	0.00121793082019	-0.00936400542674	0.000465128213449	-0.0013111072822	-0.00212697401625	5.88971434143e-05	0.00017157224429	-0.000106377294274	6.08866635605e-06	5.13026930913e-05	1.10268398074e-06	1.46993109525e-05	-4.94290928123e-06	-9.55460710022e-06	-3.67557340606e-06	6.00340738341e-06	-1.22758804279e-06	-7.37155022178e-07	2.3816974318e-06	2.2477990421e-07	-4.48011400355e-08	2.88123996299e-08	3.18940564565e-08	-2.4529451753e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even4;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	8.82232333482e-05	0.00822903555696	-0.0114950902934	-0.00219912350261	-8.8441745791e-05	0.000110686339616	0.000276215830794	5.14578304839e-05	-9.64727789635e-05	-9.32664202957e-05	8.9721534157e-06	1.6832831088e-05	1.36720919235e-05	9.38503645736e-06	-1.96067947454e-06	3.63547933297e-06	7.65935034189e-06	-1.56085276182e-06	-6.5860570647e-08	2.7015638675e-06	3.03433936615e-07	-1.4533045542e-08	2.7719060678e-08	4.54840119479e-08	1.39631987013e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	-0.0205541317475	0.000591441819225	-0.00849647234831	0.000629494253085	-0.0012995307566	-0.00213008983653	4.02936093342e-05	0.00016876455979	-9.86201633712e-05	1.52260307479e-05	5.04240990703e-05	-2.19346463051e-07	1.42019138675e-05	-5.21844102143e-06	-9.96015879969e-06	-3.47295089084e-06	5.73728603365e-06	-9.89837557397e-07	-4.69535146448e-07	2.19097155442e-06	2.17144507332e-07	-5.28874990899e-08	3.50613930816e-08	2.99917650565e-08	-4.60561433637e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0223559423903	-0.0392826058772	-0.0148259873883	-0.000311069369951	0.00172268711093	0.000166550689748	0.000488746986756	5.39303325185e-05	-0.000476424985768	3.11160745643e-05	7.87985774869e-05	-6.20843608271e-05	-2.00288669262e-05	5.33168055812e-06	4.02250612908e-05	2.13993033441e-05	-1.28550777237e-05	-1.36012020898e-05	-4.5604945863e-06	-7.11481835388e-07	-5.54153470356e-08	-7.81321895901e-08	9.78023735433e-08	8.4579033497e-09	1.04897988955e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even4;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0213543360096	-0.0402114944316	-0.0152987892007	-1.78753269494e-05	0.00191338417905	0.000118734415302	0.000538740752123	3.77692077684e-05	-0.000468895286246	5.31338471406e-05	7.27335764576e-05	-5.33884965051e-05	-1.95496870178e-05	3.25495811574e-06	3.29338903557e-05	1.70971510342e-05	-1.33725409286e-05	-1.18611206313e-05	-3.66659122853e-06	-1.00306804544e-06	-7.40211486974e-08	-6.24176332619e-08	8.32436948333e-08	4.87339367603e-09	1.16451175641e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0222588737733	-0.0396040985427	-0.014618104504	-0.000183936307114	0.00177055724122	0.000162599589604	0.00047390272943	3.63212974029e-05	-0.000459552784815	3.88828953519e-05	7.45469356681e-05	-6.16854961095e-05	-2.0150456016e-05	4.27388639007e-06	3.77806912893e-05	2.08697149718e-05	-1.45393572116e-05	-1.32635882371e-05	-4.44692567096e-06	-1.25084654988e-06	-1.43146729512e-07	-7.89995310689e-08	9.40650928557e-08	-4.28596444107e-09	6.12017558594e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even4;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0677773010897	0.0122839665712	-0.00901946780145	-0.00700369582581	0.00279623424366	0.000572463517214	-0.000656520888937	-0.000453321674202	0.000325110701991	-0.000128627767839	-0.000318713762364	6.73912806006e-05	-0.000125278217918	9.42614268579e-05	-7.09190602118e-05	-1.02642405948e-05	0.000222514989194	1.49989014064e-05	-1.04031607587e-05	2.43400193277e-05	2.0997231754e-06	-8.85082410346e-08	1.49863694467e-07	3.39874802738e-07	9.68797771271e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793427e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0619313259528	0.00784647024911	-0.0127852749446	-0.00611717178592	0.0020834530403	0.00111583184723	-0.00138551838048	-0.000714200778678	0.000666118618866	-6.20936594592e-06	9.02639872715e-05	-0.000210196777565	-0.000136984355791	-8.34539532926e-05	-8.03575871351e-05	-5.30078027123e-05	-1.28400710173e-06	2.96943624188e-05	-1.70864547477e-05	-5.09731140712e-06	-1.08026048323e-06	-3.56119480896e-07	1.2291676099e-07	-1.69296222218e-07	-1.8691454223e-08	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-0.00168523202083	0.00307850500348	-0.00863918921926	-0.0014672525201	-0.000168019983972	5.3323896559e-05	0.000226197662901	7.11789545737e-05	-0.000104546645059	-5.25226010597e-05	2.09529953181e-05	2.10544475213e-05	1.54595378921e-05	4.45284987657e-06	-6.68826497389e-06	-1.91571579278e-06	7.17248917635e-06	2.32352576685e-07	5.57093821432e-07	2.78156039228e-06	2.95174592075e-07	-2.98286038507e-08	3.19425080315e-08	4.14949837255e-08	6.58759827737e-10	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0619832444491	0.00797053567161	-0.0127300767472	-0.00610275577212	0.00208615655941	0.0011111786874	-0.00137546660224	-0.000715240957081	0.00065743269364	-6.24097654508e-06	9.15501251722e-05	-0.00020955295196	-0.000135005168086	-8.44038653309e-05	-8.03337398001e-05	-5.4121421296e-05	-1.8781202122e-06	2.96201413936e-05	-1.73348893465e-05	-5.02015299374e-06	-9.76512597704e-07	-3.70122313914e-07	1.33040590662e-07	-1.56306359102e-07	-1.8808838706e-08	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	-0.0369840508248	0.00281925205483	-0.0167632862557	9.35846329869e-05	-0.000694501256888	0.00101417514441	0.000513108924512	0.000594961977637	-0.000472289550925	-4.01278564748e-05	6.88324717329e-05	2.36915249363e-05	5.51571250543e-05	4.85615482735e-06	-2.94506066117e-05	-1.62861219861e-05	4.266117307e-06	6.78704325225e-06	3.30132811829e-06	2.42099970759e-06	3.05639611499e-07	-1.55153766319e-08	2.28167968037e-08	3.87863252016e-08	1.78184763337e-09	-9.77160913746e-10	-6.64032001992e-10	-3.42705051506e-10	5.23626793428e-10	-2.78982888535e-10
