Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other;Other	0.000666523840129
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Bifidobacteriales	0.0338439382037
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales	2.97555285772e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.31671189507
k__Bacteria;p__Firmicutes;Other;Other	0.000309457497203
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0970149253731
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.424992263563
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae_(class);o__Victivallales	0.000434430717227
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.121307338904
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	1.78533171463e-05
k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00255897545764
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.00210074031755
