Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other	0.000684377157276
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0338558404151
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.316741650599
k__Bacteria;p__Firmicutes;Other	0.000345164131496
k__Bacteria;p__Firmicutes;c__Bacilli	0.0970982408532
k__Bacteria;p__Firmicutes;c__Clostridia	0.42484348592
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00255897545764
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.000434430717227
k__Bacteria;p__Proteobacteria;Other	1.19022114309e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.121325192221
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.00210074031755
