Taxonomy	Mock.41	Mock.43	Mock.44	Mock.45	Mock.46	Mock.47	Mock.48	Mock.52	Mock.53	Mock.54	Mock.57	Mock.58
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Mucoraceae;g__Mucor	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_brinkmannii	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Debaryomyces;s__Debaryomyces_prosopidis	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita_lividopallescens	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_dimorpha	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;s__Hymenoscyphus_fraxineus	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_finlayi	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_poae	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Melampsoraceae;g__Melampsora	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Rhizinaceae;g__Rhizina;s__Rhizina_undulata	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_purpurascens	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909	0.0909090909
