#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29
Mock.3;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_geotrichum	-0.0908099653705	0.0537865337143	-0.000304572853999	0.00725864233784	-0.00103728761072	0.00321128998803	-0.000318710085777	0.00069445885538	-0.00131571590326	0.000364249392322	-0.000607265011317	-0.000629500632753	0.000123774742329	1.04230101358e-05	-2.78163983772e-06	1.1296271347e-05	-9.93298759757e-06	-3.44119983247e-06	-2.21900678072e-06	2.87100257276e-07	-4.01161648327e-07	-1.7184862592e-06	7.97784497847e-08	4.0681015791e-07	-2.13107559068e-08	-4.02674931981e-09	-9.62693690591e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.2;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_geotrichum	-0.0906200607159	0.0565599955291	0.000704471595712	0.00573121958864	-0.000932518330954	0.00333232245277	-0.000292703627916	0.000769665880284	-0.00138320159203	0.00039002554078	-0.00059287651053	-0.000674389769388	0.000145963311548	1.02173922015e-05	-2.73967402941e-06	1.20444973878e-05	-1.029852886e-05	-3.59896574671e-06	-2.38788325182e-06	2.94688108066e-07	-4.26576021737e-07	-1.81283806492e-06	8.84376623027e-08	4.17636627234e-07	-1.91003284373e-08	-4.02674931981e-09	-9.62693690589e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170215e-11
Mock.1;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_geotrichum	-0.0874610835477	0.055128248417	-0.00280525242513	0.00595077725629	-0.00118279793046	0.00347860373157	-0.000662402083319	0.000789463930335	-0.00142527786066	0.000419516179959	-0.00081209169859	-0.000604486052282	0.000115850234378	1.01363642066e-05	-1.78951355502e-06	9.48502877786e-06	-8.46152556654e-06	-3.00663791925e-06	-1.86300209077e-06	2.96248101328e-07	-3.10035897121e-07	-1.48779054596e-06	5.99592676922e-08	3.2849642147e-07	-1.85305718685e-08	-4.02674931981e-09	-9.6269369059e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170215e-11
Mock.1;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_sp_BPY_54	-0.0401633160333	-0.0248951999924	0.0123552573758	-0.0109920184063	-0.0143773627014	-5.19749331315e-05	7.57325855478e-05	0.00158443219676	0.000213697017668	1.22591362446e-05	-0.000211929540318	-0.000154365231319	0.000237613983844	-6.31667692173e-06	4.27693451508e-06	2.75199877083e-06	1.85804454936e-06	2.35716858258e-07	-1.64829376977e-07	-6.33212023633e-08	1.50189313557e-08	1.16956143715e-07	-6.50180243349e-08	-7.75990163676e-11	-2.13819352346e-09	-4.02674931981e-09	-9.62693690592e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.2;Root;Saccharomycetes;Saccharomycetales;Incertae_sedis;Candida;Candida_catenulata	-0.0597454182662	-0.0127485713785	-0.00905146351936	-0.0109956858439	7.97579690175e-05	9.9713437091e-06	0.00163866021926	-0.00180715040054	-0.00050079443433	-0.000193743438961	6.92304876254e-05	-0.000247390344044	-5.1878762873e-05	2.43121192929e-06	-1.45571801954e-06	-8.498132827e-07	-6.623958343e-07	-6.67238247491e-08	7.54010214102e-08	7.94875268291e-09	-1.6720018434e-08	-4.33186761555e-08	3.52832835261e-08	-3.99634112677e-10	2.0494668502e-10	-4.02674931981e-09	-9.6269369059e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.3;Root;Saccharomycetes;Saccharomycetales;Incertae_sedis;Candida;Candida_catenulata	-0.0587580203553	-0.0116811520603	-0.00991173492313	-0.0110009725312	-1.09248051152e-05	1.50131094903e-05	0.00165192596722	-0.00181476268599	-0.000498202160964	-0.000194025784205	6.59125051178e-05	-0.000251603571588	-5.13034713018e-05	2.45889512107e-06	-1.44571595802e-06	-8.52282571799e-07	-6.59234836169e-07	-6.6747791538e-08	7.66177235496e-08	8.43264829914e-09	-1.63079878528e-08	-4.33009315866e-08	3.53478397624e-08	-4.24126151311e-10	2.19455570405e-10	-4.02674931981e-09	-9.6269369059e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.1;Root;Saccharomycetes;Saccharomycetales;Incertae_sedis;Candida;Candida_catenulata	-0.05721592213	-0.0100140780084	-0.0112552895229	-0.0110092291734	-0.000152551340386	2.28872380231e-05	0.00167264414594	-0.00182665140051	-0.000494153600486	-0.000194466745335	6.07305466794e-05	-0.000258183705742	-5.04049924806e-05	2.50213017397e-06	-1.43009493923e-06	-8.56139057918e-07	-6.54298052777e-07	-6.67852223874e-08	7.85179445135e-08	9.18838675348e-09	-1.56644867668e-08	-4.32732184754e-08	3.54486623956e-08	-4.62377325333e-10	2.42115256186e-10	-4.02674931981e-09	-9.6269369059e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.2;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_sp_BPY_54	-0.0401284809471	-0.0249158247876	0.0123531689818	-0.0110037270358	-0.0143819083818	-5.1301595753e-05	7.57249559093e-05	0.00158513780592	0.000213759379054	1.23675038315e-05	-0.000212334376841	-0.000155266065663	0.000237934606983	-6.33349243296e-06	4.27636216245e-06	2.75610326824e-06	1.87138418779e-06	2.34307862475e-07	-1.61353701209e-07	-6.24121901317e-08	1.66484536352e-08	1.16985731534e-07	-6.60256011801e-08	-2.13379927448e-09	-1.22721080051e-09	-4.02674931981e-09	-9.62693690591e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.3;Root;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_sp_BPY_54	-0.0401737437126	-0.0248787625173	0.0123649401736	-0.0109903498965	-0.0143767740264	-5.92571760251e-05	7.69883648573e-05	0.00158307259124	0.000215482678426	1.07526246398e-05	-0.000211552973739	-0.000153498148199	0.000237412816776	-6.3216699367e-06	4.26851716924e-06	2.76467904124e-06	1.87313612259e-06	2.43370064746e-07	-1.70198653079e-07	-6.64086715383e-08	1.25192459916e-08	1.19076099867e-07	-6.50177051904e-08	4.99139800313e-10	-2.61062974772e-09	-4.02674931981e-09	-9.62693690592e-11	-3.01439746896e-11	-2.34677697993e-10	1.53220170214e-11
Mock.3;Root;Saccharomycetes;Saccharomycetales;Pichiaceae;Issatchenkia;Issatchenkia_sp_YS5	-0.10375536574	-0.0489988033526	-0.0307294902713	0.0749331822277	-0.0257509001787	-0.00428277174511	0.00192943122699	-0.00178499350068	-0.00302079085523	-0.00134816551854	0.000740292295948	0.000805316528405	-0.0008209560132	2.69879014493e-05	-1.67567898737e-05	-3.7061596101e-06	-9.04851733466e-06	-7.5600176899e-07	-4.44369442272e-08	-1.36689823602e-07	-4.88263560651e-07	-6.5870019207e-07	4.09352506561e-07	1.57209411308e-08	6.98374380007e-09	-4.02674931981e-09	-9.62693690597e-11	-3.01439746897e-11	-2.34677697993e-10	1.53220170212e-11
