SH097880.07FU_DQ404354_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales
SH083118.07FU_UDB016393_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales
SH544082.07FU_KJ570692_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis
SH077349.07FU_DQ366846_reps	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales
SH118581.07FU_EU400584_reps	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales
SH087471.07FU_KF144892_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis
SH082552.07FU_JX316435_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales
SH106446.07FU_JQ902091_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales
SH094365.07FU_EU259289_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
SH096204.07FU_HQ604758_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
SH115469.07FU_AB030335_refs	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis
SH077708.07FU_KC992927_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
SH133717.07FU_AJ810047_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales
SH111882.07FU_JQ619167_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales
SH540743.07FU_KP636820_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
SH090971.07FU_JF412001_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales
SH544563.07FU_KM108375_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales
SH115057.07FU_KJ486579_refs	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
SH094256.07FU_AY158675_refs	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiomycetidae_ord_Incertae_sedis
SH092841.07FU_KC785595_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales
SH077213.07FU_JF514531_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
SH135364.07FU_DQ083813_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
