Taxon	blast_0.0001	blast_1.0	blast_1e-06	blast_1e-10	blast_1e-30	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rtax	Expected
Other	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	2.60247234873e-05	5.20494469746e-05	5.20494469746e-05	7.80741704619e-05	0.000494469746259	0.000156148340924	0.000546519193234	0.000858815875081	0.000416395575797	5.20494469746e-05	5.20494469746e-05	5.20494469746e-05	5.20494469746e-05	0.000156148340924	0.000494469746259	0.000520494469746	0.000884840598569	0.000520494469746	0	0	
Other	0	0	0	0	0	0	7.80741704619e-05	0.000442420299284	0.000572543916721	0.000494469746259	0.000780741704619	0.000338321405335	0	0	0	5.20494469746e-05	0.000104098893949	0.000910865322056	0.000806766428107	0.000416395575797	0.000364346128822	0	0	2.60247234873e-05	0	
g__Neosartorya	0.000260247234873	0.000260247234873	0.000260247234873	0.000260247234873	0.000260247234873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Scopulariopsis	0	0	0	0	0	7.80741704619e-05	7.80741704619e-05	5.20494469746e-05	7.80741704619e-05	5.20494469746e-05	5.20494469746e-05	0	0	0	7.80741704619e-05	7.80741704619e-05	7.80741704619e-05	7.80741704619e-05	5.20494469746e-05	5.20494469746e-05	0	0	0	0.000130123617437	0.0625	
Other	0	0	0	0	0	0	0.0	2.60247234873e-05	5.20494469746e-05	0.0	0.0790891346779	0.0732595966168	0.149980481457	2.60247234873e-05	0	0	2.60247234873e-05	2.60247234873e-05	0.0	5.20494469746e-05	0.0767729342876	0.175172413793	0.0767729342876	0	0	
g__unidentified	0.326922576448	0.326922576448	0.326922576448	0.326922576448	0.326922576448	2.60247234873e-05	0.0	0	0	0	0	0	0	0	2.60247234873e-05	0	0	0	0	0	0	0	0	0.267794404684	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60247234873e-05	0	
Other	0	0	0	0	0	0	0.0	2.60247234873e-05	5.20494469746e-05	0.011216655823	0.0111385816526	0.0111906310995	0.0111646063761	5.20494469746e-05	0	0.0	5.20494469746e-05	5.20494469746e-05	0.011216655823	0.0111646063761	0.0111646063761	0.0111646063761	0.0111646063761	0	0	
Other	0	0	0	0	0	0	0	0	0	0	2.60247234873e-05	0	0	0.0111125569291	0	0	0	0	0	5.20494469746e-05	2.60247234873e-05	0	0	0	0	
