id	taxonomy
238417be42b85853bf347af91b94a844	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
60cd0ac314698dd12c78938964db9606	other
c352d70fb42511e60bb8844f0985d76b	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus; s__
710f9206159c2bbb9d9932862c338ac3	k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Pelodictyon; s__phaeoclathratiforme
83200b3d61a95f0106a8efe9e923e383	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
3befb3e069f2369ad507223dc795a663	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
93fd39c3299afa32c82e79f82f07e59e	other
812089bfd95c5451e06def2cdd31c1d6	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
4d52db9f3cd83c983b1fdbd9eb9445b5	other
1fb8ba60faab2e44c8636f0f5910eec9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
0e42350decb6db7ff28c15436f01afe0	other
f1011db6cf6e03dcc5f3fdc083cfd845	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
431569cf382e0e62c8d193ab05b7938e	other
40d0e544aca1f7000da9d2e1b8d0b728	other
58b1cfa725589a284fdf75901ae9bee3	k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__
3bea61c3c02bd6b4321c108629016ae9	other
0767f946608b3f8d40b1b593f3cb2a97	other
0534757f38449f6cf980b2eb1bcde6b6	k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__phaeobacteroides
d39fd2ae486b7cf75c61fd36de983610	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Caldicellulosiruptoraceae; g__Caldicellulosiruptor; s__
b5233e48b77042a2697f76013d63b3ed	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Leptothrix; s__
8f203baca6baf4be086f301a8b1433f2	other
d4f15d8c75005a7fa318eea2e477f18e	other
858869d428292c5365024e663d735ef4	k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__
fdc1678af5e8187e08ca4c231f174a06	other
