Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other;Other	0.000684377157276
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0338558404151
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.316741650599
k__Bacteria;p__Firmicutes;Other;Other	0.000345164131496
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0970863386417
k__Bacteria;p__Firmicutes;c__Clostridia;Other	0.000261848651479
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.42455188174
k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales	2.97555285772e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00255897545764
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.000434430717227
k__Bacteria;p__Proteobacteria;Other;Other	1.19022114309e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.121307338904
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	1.78533171463e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.00210074031755
