#OTU ID	taxonomy	confidence	num hits
AF393718	Unassigned	1.00	1
EU718093	Root;Basidiomycota;Agaricomycetes;Boletales;Calostomataceae;Calostoma	1.00	2
FJ816639	Root;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Hebeloma	1.00	2
DQ219308	Root;Ascomycota;Lecanoromycetes;Lecanorales;Stereocaulaceae;Stereocaulon	1.00	3
JF908387	Root;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena_polygramma	1.00	1
JN009708	Root;Ascomycota;Lecanoromycetes;Lecanorales	1.00	2
FJ386439	Root;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis	1.00	2
GU062253	Root;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae;Paraconiothyrium;Paraconiothyrium_sporulosum	1.00	1
AF205649	Root;Basidiomycota;Agaricomycetes;Boletales;Gomphidiaceae;Chroogomphus	1.00	3
FJ596839	Root;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Camarophyllopsis;Camarophyllopsis_hymenocephala	1.00	1
HQ699637	Root;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Caloplaca	1.00	2
EU784332	Unassigned	1.00	1
DQ983814	Unassigned	1.00	1
AB361642	Unassigned	1.00	1
AY261367	Root;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Beauveria;Beauveria_felina	1.00	1
AF284447	Root;Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Umbilicaria	1.00	2
HM005141	Root;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Paraxerula_americana;Paraxerula_americana	1.00	1
FJ810160	Root;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Lyophyllum;Lyophyllum_decastes	1.00	1
EU057897	Root;Ascomycota;Lecanoromycetes;Lecanorales;Hymeneliaceae;Aspicilia;Aspicilia_caesiocinerea	1.00	1
AY877418	Root;Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	1.00	2
AF132505	Root;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;Tuber_borchii	1.00	1
DQ116558	Root;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Gremmeniella;Ascocalyx_abietina	1.00	1
FJ176722	Unassigned	1.00	1
EU819537	Unassigned	1.00	1
JN943348	Unassigned	1.00	1
EF093299	Root;Ascomycota;Saccharomycetes;Saccharomycetales	1.00	3
UDB000616	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Inocybe	1.00	2
UDB003331	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactifluus;Lactarius_bertillonii	1.00	1
AY571059	Unassigned	1.00	1
AJ458185	Root;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;Chaetomium_nigricolor	1.00	1
HQ676140	Root;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Laetiporus	1.00	2
EU520172	Root;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	1.00	3
AY174782	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius	1.00	2
AF129853	Root;Ascomycota;Eurotiomycetes;Onygenales	1.00	3
AB245116	Unassigned	1.00	1
DQ985380	Root;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Hypoxylon;Hypoxylon_diatrypeoides	1.00	1
FJ845410	Root;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus;Hygrophorus_olivaceoalbus	1.00	1
DQ001296	Unassigned	1.00	1
AB599963	Root;Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia;Puccinia_polysora	1.00	1
AY916479	Unassigned	1.00	1
UDB011623	Root;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma;Tricholoma_apium	1.00	1
AB113352	Root;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps	1.00	2
FJ903307	Root;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Skeletocutis;Skeletocutis_odora	1.00	1
GU183170	Root;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae	1.00	3
AF491590	Root;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza	1.00	2
EU030177	Unassigned	1.00	1
AM882836	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Inocybe	1.00	3
HQ604805	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Inocybe	1.00	2
JN943143	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Lipomyces;Lipomyces_lipofer	1.00	2
JF961369	Unassigned	1.00	1
AB180320	Root;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium	1.00	2
DQ232649	Root;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus	1.00	2
FJ177450	Root;Ascomycota;Sordariomycetes;Hypocreales	1.00	3
AF350033	Root;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmelia;Parmelia_saxatilis	1.00	3
AF438560	Root;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita_citrina_f_lavendula	1.00	1
AB054050	Root	1.00	2
AF438567	Root;Basidiomycota;Agaricomycetes;Thelephorales;Bankeraceae;Boletopsis	1.00	2
AY569023	Root;Basidiomycota;Agaricomycetes;Thelephorales;Bankeraceae;Hydnellum;Hydnellum_caeruleum	1.00	2
AF042453	Root;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella_giraffa	1.00	1
GU168027	Root;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae	1.00	2
GU199447	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;Candida_glabrata	1.00	2
AY669604	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_sinapicolor	1.00	1
AF418620	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	3
AB361643	Unassigned	1.00	1
AF418625	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	3
AF418627	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	2
DQ425023	Unassigned	1.00	1
JF908767	Root;Ascomycota	1.00	3
EU365845	Root;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Caloplaca	1.00	2
EF010926	Unassigned	1.00	1
EU681350	Root;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthomendoza;Xanthomendoza_mendozae	1.00	2
EF175514	Root;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae	1.00	2
