	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
blast_100.0	0.0	0.0	0.0	0.0	0.0	0.00389445339448	0.178753078763	0.266598982049	0.322203329546	0.322253840915	0.347549200381	0.409660462049	0.458902770478	0.458927437619	0.611771694219	0.615682676348	0.831942211227	0.178753078763	0.180894193297	0.322198727001	0.322389550645	0.345592679288	0.409985732829	0.421721257429	0.458927437619	0.532262668565	0.615682676348	0.953252341141	0.450792762894	1.0
blast_0.0001	0.0	0.0	0.0	0.0	0.0	0.00389445339448	0.178753078763	0.266598982049	0.322203329546	0.322253840915	0.347549200381	0.409660462049	0.458902770478	0.458927437619	0.611771694219	0.615682676348	0.831942211227	0.178753078763	0.180894193297	0.322198727001	0.322389550645	0.345592679288	0.409985732829	0.421721257429	0.458927437619	0.532262668565	0.615682676348	0.953252341141	0.450792762894	1.0
blast_1e-06	0.0	0.0	0.0	0.0	0.0	0.00389445339448	0.178753078763	0.266598982049	0.322203329546	0.322253840915	0.347549200381	0.409660462049	0.458902770478	0.458927437619	0.611771694219	0.615682676348	0.831942211227	0.178753078763	0.180894193297	0.322198727001	0.322389550645	0.345592679288	0.409985732829	0.421721257429	0.458927437619	0.532262668565	0.615682676348	0.953252341141	0.450792762894	1.0
blast_1.0	0.0	0.0	0.0	0.0	0.0	0.00389445339448	0.178753078763	0.266598982049	0.322203329546	0.322253840915	0.347549200381	0.409660462049	0.458902770478	0.458927437619	0.611771694219	0.615682676348	0.831942211227	0.178753078763	0.180894193297	0.322198727001	0.322389550645	0.345592679288	0.409985732829	0.421721257429	0.458927437619	0.532262668565	0.615682676348	0.953252341141	0.450792762894	1.0
blast_1e-10	0.0	0.0	0.0	0.0	0.0	0.00389445339448	0.178753078763	0.266598982049	0.322203329546	0.322253840915	0.347549200381	0.409660462049	0.458902770478	0.458927437619	0.611771694219	0.615682676348	0.831942211227	0.178753078763	0.180894193297	0.322198727001	0.322389550645	0.345592679288	0.409985732829	0.421721257429	0.458927437619	0.532262668565	0.615682676348	0.953252341141	0.450792762894	1.0
blast_1e-30	0.00389445339448	0.00389445339448	0.00389445339448	0.00389445339448	0.00389445339448	0.0	0.18263027417	0.270476177456	0.326080524953	0.326131036322	0.351426395788	0.413537657455	0.462779965885	0.462804633026	0.615648889626	0.615682676348	0.831942211227	0.18263027417	0.184771388704	0.326075922408	0.326266746052	0.349469874695	0.413862928236	0.425598452836	0.462804633026	0.536139863972	0.615682676348	0.953252341141	0.454669958301	1.0
mothur_0.0	0.178753078763	0.178753078763	0.178753078763	0.178753078763	0.178753078763	0.18263027417	0.0	0.0897968874585	0.145521311616	0.14570851389	0.171085002515	0.233307840112	0.282685491343	0.283890322301	0.594873215874	0.61528932828	0.831548863159	3.05322808802e-05	0.00419500288854	0.145642736381	0.145852895369	0.169157665599	0.233615767396	0.246573828775	0.283890322301	0.515384788158	0.615214793514	0.952858993073	0.384367934065	1.0
mothur_0.1	0.266598982049	0.266598982049	0.266598982049	0.266598982049	0.266598982049	0.270476177456	0.0897968874585	0.0	0.0557244241579	0.0559256299773	0.0813074504003	0.143964127583	0.193685263862	0.194178547696	0.590808052971	0.615132039438	0.831548863159	0.0898274197394	0.0858455488601	0.05585118072	0.0560840150023	0.0793887852328	0.143906688997	0.156804948409	0.194121441935	0.511292432925	0.615109364143	0.952858993073	0.295016902495	1.0
mothur_0.2	0.322203329546	0.322203329546	0.322203329546	0.322203329546	0.322203329546	0.326080524953	0.145521311616	0.0557244241579	0.0	0.000214394603619	0.0255896206345	0.0882397034246	0.137960839704	0.138454123538	0.535083628813	0.559454142954	0.775902676042	0.145551843897	0.141471671381	0.000162620640579	0.000359590844331	0.0236775498591	0.0881822648393	0.101080524251	0.138397017777	0.455568008767	0.559384939985	0.897297104047	0.350539673001	1.0
mothur_0.3	0.322253840915	0.322253840915	0.322253840915	0.322253840915	0.322253840915	0.326131036322	0.14570851389	0.0559256299773	0.000214394603619	0.0	0.0253924840185	0.0880644273412	0.13778556362	0.138270175706	0.534908352729	0.559382948138	0.77584495143	0.14570851389	0.141642344919	0.000159366198947	0.000253965562067	0.0234990193342	0.0880243322525	0.100879318431	0.138201143756	0.455392732684	0.559209663902	0.897266571766	0.350446703162	1.0
