#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
MockMiSeq.even;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0130937645059	0.000319314425384	-0.00261294423621	0.000501513239139	-0.000175925122053	-5.93466704906e-05	-5.37883305696e-05	-1.58934531149e-05	-6.07684878928e-06	3.21122538589e-06	-6.1658642039e-07	-1.59153999981e-08	4.6846747924e-08	-3.74858529302e-08	9.97571884688e-09	-2.98633602746e-08	-2.64186879108e-08	-4.15736276749e-09	-2.449239142e-08	1.12876231278e-08	4.53113886268e-09	-4.20753125115e-09	3.80905388243e-09	-4.06653268408e-09	1.0085435534e-09	1.19124669234e-11	1.33998675879e-11	3.70763514463e-10	-1.455344358e-09	9.27043180694e-11	2.2548025374e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus	0.0182757094928	0.0124626656459	-0.0124945205105	0.000333762898892	-4.96672912022e-05	2.74072322454e-05	-5.08939558426e-05	2.55038309068e-05	-4.99674558411e-06	-1.19928777528e-05	1.48710630833e-06	-4.92774903304e-07	3.19368799379e-07	-1.86139803149e-07	4.67226858364e-08	-7.15232164228e-08	-2.13537044285e-07	-3.95105477139e-08	-8.09401303456e-08	2.05743244631e-08	-5.05261490181e-08	1.80158526015e-08	-3.42648978072e-09	2.11473934757e-08	5.49007936237e-09	4.67652609232e-09	7.3323517502e-12	3.70763514461e-10	-1.45534435801e-09	9.27043180699e-11	2.25480253744e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-0.00248696142501	0.00976505540758	-0.00428721388486	-0.000511881750594	7.3507699741e-05	9.06804934338e-05	2.77482587687e-05	3.33794853042e-05	-3.38162421769e-06	-1.24825343115e-05	-3.32500304903e-06	3.60730375619e-07	3.25904699523e-07	-1.02984523162e-07	2.40433370388e-08	1.78913743786e-08	9.00519956469e-08	-4.38198029862e-09	1.49040709637e-07	5.6599479685e-08	-2.89913317946e-08	-7.83067203359e-09	-1.39546908873e-09	-3.44945071745e-09	-3.50922766763e-09	-1.59659737052e-09	6.93179632173e-12	3.70763514461e-10	-1.45534435801e-09	9.270431807e-11	2.25480253744e-10
MockMiSeq.even;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	0.0657447820247	-0.00617399931605	-0.010151368595	-0.0063990804423	0.000118160322458	-0.000837304389943	0.000257420804205	-3.97403844859e-05	3.60924430548e-05	-7.11068170086e-05	-9.84188553056e-07	-3.56546037253e-07	5.00527092512e-07	-2.00444114885e-07	3.09141655714e-08	1.22311286581e-07	-2.95753104251e-08	-1.56114783579e-09	-7.1784101551e-08	5.20756252296e-08	-7.57426732794e-08	8.79293028529e-09	-1.23514681543e-08	4.30661477112e-08	2.10325161638e-09	2.60519840116e-09	-1.2141860004e-11	3.70763514455e-10	-1.45534435803e-09	9.27043180716e-11	2.25480253757e-10
MockMiSeq.even;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00062959240794	-0.000789027906535	-0.000419567142022	6.82131133097e-05	-3.90303415786e-06	3.53350389213e-05	1.24881204224e-05	-3.23355176713e-06	-2.11427955093e-06	8.15103101011e-07	3.72226375296e-07	4.21311889778e-08	-9.81112751902e-08	-8.04052566122e-08	6.26471842324e-08	4.1304011576e-07	-2.296987043e-08	1.11512497013e-08	-3.21673808888e-08	-1.12248416852e-07	1.71148314924e-08	2.63726881515e-08	-4.66149654421e-09	3.57199848355e-09	-1.30155065995e-10	2.2008049377e-09	6.62005483734e-12	3.70763514461e-10	-1.45534435801e-09	9.27043180699e-11	2.25480253745e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	-0.0171411932371	0.000669984184098	-0.0288443878848	-0.00140142660117	-0.00202786170504	-0.00224022475573	-0.000191077052161	-0.000429511917511	5.57876129829e-05	-2.75893802121e-05	-2.27046572876e-05	-8.38329487845e-07	-2.63299119918e-06	5.84731647199e-07	-1.66796707897e-08	9.35353244235e-09	-4.64155366073e-07	4.21554972755e-07	-1.04705495656e-06	-3.15918233221e-07	6.02210776174e-07	2.7773018975e-09	1.1965289777e-07	2.93666764146e-07	1.58016911652e-08	8.4549962029e-09	3.83579504239e-11	3.70763514471e-10	-1.45534435796e-09	9.27043180671e-11	2.25480253724e-10
MockMiSeq.even;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	-0.000839208891611	0.00608023898736	-0.00185471968283	-0.000359780185596	-2.26455006691e-06	-6.12996671833e-06	-8.12306463617e-06	1.2788204234e-05	7.19401815774e-07	-7.24542512501e-06	-1.40658762832e-06	4.32793288357e-08	7.83681585688e-08	-2.22721284823e-08	5.8423658256e-09	-6.16490926353e-09	1.64442520115e-08	-4.63244028188e-10	1.76843019288e-08	1.3582006282e-08	-9.5113627223e-09	-1.63894646661e-09	-7.1169497239e-10	3.12131695953e-09	-7.89185512789e-10	-1.70002903973e-10	4.30226893971e-12	3.7076351446e-10	-1.45534435801e-09	9.27043180702e-11	2.25480253746e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum	0.0581156466715	-0.0128879095885	-0.0288852809308	-0.0056694419104	0.00173098814359	0.000371797311493	0.000886984764005	0.000188201838504	-1.7482063092e-06	-8.89782485161e-05	-1.20787843555e-05	5.01349740338e-06	5.31129162823e-06	-1.51729744322e-06	2.62969439536e-07	5.30025410995e-07	1.51383169603e-06	-1.56979396062e-08	1.92149490694e-06	7.27924716443e-07	-3.796857373e-07	-1.43955843178e-07	-2.04074061749e-08	-1.01457512818e-07	-3.5506260691e-08	-2.3403712035e-08	1.40249502015e-11	3.70763514463e-10	-1.455344358e-09	9.27043180696e-11	2.2548025374e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0349942460061	-0.0108884063804	-0.0197056412036	0.00149206341888	-0.00267982039738	-0.00219189741295	-0.0002614895039	0.000114526435988	3.0284931538e-05	2.39090515095e-05	1.08139818205e-05	1.04661310915e-06	3.18987284905e-07	-8.36657218678e-08	-1.15456747006e-07	-4.08846248885e-07	1.3227646258e-07	-4.74198656457e-09	3.36594543841e-07	2.17385755486e-07	8.18385753792e-08	-3.91469975152e-08	2.69813060521e-08	-4.34735631612e-08	6.38736205546e-09	-5.18532563302e-09	3.11201904963e-11	3.70763514469e-10	-1.45534435797e-09	9.27043180679e-11	2.25480253728e-10
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	-0.00329883950243	0.0148297835206	-0.00463014186365	-0.000800985297312	-2.31474949886e-05	-5.75372210784e-05	-6.52453794218e-05	2.76417225585e-05	1.39217408592e-06	-1.23165878765e-05	-5.00836349994e-07	-4.13228020903e-07	5.9340585516e-07	-7.96584727307e-07	1.10027711993e-07	-1.31784476142e-07	-1.20997669454e-07	-1.08338589497e-08	-7.16075952358e-08	1.09384252154e-07	-1.21825753168e-08	1.7359244678e-08	1.4927806299e-08	5.35910555662e-08	1.065761621e-08	4.120079415e-09	2.26025882438e-12	3.70763514459e-10	-1.45534435801e-09	9.27043180705e-11	2.25480253747e-10
