UclustConsensusTaxonAssigner parameters:
id_to_taxonomy_filepath:/Users/nbokulich/Desktop/projects/short-read-tax-assignment/data/novel-taxa-simulations/B1-REF-L4-iter2/ref_taxa.tsv
id_to_taxonomy_fp:/Users/nbokulich/Desktop/projects/short-read-tax-assignment/data/novel-taxa-simulations/B1-REF-L4-iter2/ref_taxa.tsv
max_accepts:1
min_consensus_fraction:1.0
reference_sequences_fp:/Users/nbokulich/Desktop/projects/short-read-tax-assignment/data/novel-taxa-simulations/B1-REF-L4-iter2/ref_seqs.fasta
similarity:0.8
unassignable_label:Unassigned
Result path: /var/folders/0t/l1dz88p50y91vx_22fx5w3780000gn/T/assign-taxLmhe4J

.uc file contents:

# uclust --input /Users/nbokulich/Desktop/projects/short-read-tax-assignment/data/novel-taxa-simulations/B1-REF-L4-iter2/query.fasta --id 0.8 --rev --maxaccepts 1 --allhits --libonly --lib /Users/nbokulich/Desktop/projects/short-read-tax-assignment/data/novel-taxa-simulations/B1-REF-L4-iter2/ref_seqs.fasta --uc /var/folders/0t/l1dz88p50y91vx_22fx5w3780000gn/T/UclustConsensusTaxonAssigner_2139U8.uc
# version=1.2.22
# Tab-separated fields:
# 1=Type, 2=ClusterNr, 3=SeqLength or ClusterSize, 4=PctId, 5=Strand, 6=QueryStart, 7=SeedStart, 8=Alignment, 9=QueryLabel, 10=TargetLabel
# Record types (field 1): L=LibSeed, S=NewSeed, H=Hit, R=Reject, D=LibCluster, C=NewCluster, N=NoHit
# For C and D types, PctId is average id with seed.
# QueryStart and SeedStart are zero-based relative to start of sequence.
# If minus strand, SeedStart is relative to reverse-complemented seed.
L	2803	250	*	*	*	*	*	357241	*
H	2803	250	82.4	+	0	0	250M	1042479	357241
L	2820	250	*	*	*	*	*	354839	*
H	2820	250	95.2	+	0	0	250M	1037199	354839
L	900	250	*	*	*	*	*	656502	*
H	900	250	90.4	+	0	0	250M	820546	656502
L	3980	250	*	*	*	*	*	261255	*
H	3980	250	96.0	+	0	0	250M	780282	261255
L	9774	250	*	*	*	*	*	1121390	*
H	9774	250	92.0	+	0	0	25MI224MD	653022	1121390
L	11054	250	*	*	*	*	*	4154525	*
H	11054	250	90.0	+	0	0	250M	592957	4154525
L	8412	250	*	*	*	*	*	2105739	*
H	8412	250	90.4	+	0	0	173MI11MI25MI19MI18M4D	569436	2105739
L	7190	250	*	*	*	*	*	14311	*
H	7190	250	84.4	+	0	0	250M	567510	14311
L	1630	250	*	*	*	*	*	546946	*
H	1630	250	94.0	+	0	0	197MD18MD11MD21M3I	557633	546946
L	9177	250	*	*	*	*	*	735510	*
H	9177	250	96.4	+	0	0	250M	549368	735510
L	13638	250	*	*	*	*	*	4447141	*
H	13638	250	93.6	+	0	0	250M	545968	4447141
L	6924	250	*	*	*	*	*	43030	*
H	6924	250	88.8	+	0	0	131MD118MI	543619	43030
L	11118	250	*	*	*	*	*	1136466	*
H	11118	250	90.8	+	0	0	250M	543364	1136466
L	9537	250	*	*	*	*	*	2979159	*
H	9537	250	91.6	+	0	0	250M	370251	2979159
L	10449	250	*	*	*	*	*	1126217	*
H	10449	250	92.0	+	0	0	250M	332919	1126217
L	7806	250	*	*	*	*	*	1655542	*
H	7806	250	86.4	+	0	0	110MD139MI	299514	1655542
L	3889	250	*	*	*	*	*	265971	*
H	3889	250	95.2	+	0	0	250M	259094	265971
L	703	250	*	*	*	*	*	793649	*
H	703	250	88.0	+	0	0	250M	250201	793649
L	10893	250	*	*	*	*	*	830034	*
H	10893	250	87.6	+	0	0	250M	240999	830034
L	13352	250	*	*	*	*	*	4429102	*
H	13352	250	99.2	+	0	0	250M	236778	4429102
L	5553	250	*	*	*	*	*	168491	*
H	5553	250	81.2	+	0	0	250M	150547	168491
L	6778	250	*	*	*	*	*	68336	*
H	6778	250	92.4	+	0	0	206MD5MD15MD21M3I	107429	68336
L	5014	250	*	*	*	*	*	185981	*
H	5014	250	89.2	+	0	0	250M	106754	185981
L	8435	250	*	*	*	*	*	2118963	*
H	8435	250	82.0	+	0	0	250M	106723	2118963
L	575	250	*	*	*	*	*	827639	*
H	575	250	87.2	+	0	0	111MI34MI11MI7MI12MI35MI34M6D	101495	827639
L	9427	250	*	*	*	*	*	827215	*
H	9427	250	82.0	+	0	0	250M	66229	827215
