# Constructed from biom file
#OTU ID	MockHiSeq.even	taxonomy
f402191c9af7a947b43e1b00c61020bf	33263.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; B; a; c; t; e; r; o; i; d; e; t; e; s; ;; c; _; _; B; a; c; t; e; r; o; i; d; i; a; ;; o; _; _; B; a; c; t; e; r; o; i; d; a; l; e; s; ;; f; _; _; B; a; c; t; e; r; o; i; d; a; c; e; a; e; ;; g; _; _; B; a; c; t; e; r; o; i; d; e; s; ;; s; _; _; o; v; a; t; u; s
9fb362cee1a00312771d8e424f194e84	30940.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; B; a; c; t; e; r; o; i; d; e; t; e; s; ;; c; _; _; B; a; c; t; e; r; o; i; d; i; a; ;; o; _; _; B; a; c; t; e; r; o; i; d; a; l; e; s; ;; f; _; _; B; a; c; t; e; r; o; i; d; a; c; e; a; e; ;; g; _; _; B; a; c; t; e; r; o; i; d; e; s; ;; s; _; _; o; v; a; t; u; s
ae3fd1a9083ed263b3d55bf6c6572a66	30883.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; B; a; c; t; e; r; o; i; d; e; t; e; s; ;; c; _; _; B; a; c; t; e; r; o; i; d; i; a; ;; o; _; _; B; a; c; t; e; r; o; i; d; a; l; e; s; ;; f; _; _; B; a; c; t; e; r; o; i; d; a; c; e; a; e; ;; g; _; _; B; a; c; t; e; r; o; i; d; e; s; ;; s; _; _; u; n; i; f; o; r; m; i; s
d58a391c4e4ac94d240def236096bd84	27628.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; B; a; c; i; l; l; i; ;; o; _; _; L; a; c; t; o; b; a; c; i; l; l; a; l; e; s; ;; f; _; _; S; t; r; e; p; t; o; c; o; c; c; a; c; e; a; e; ;; g; _; _; S; t; r; e; p; t; o; c; o; c; c; u; s; ;; s; _; _; l; u; t; e; c; i; a; e
94ae91ae3283572954655746fb032acf	24912.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; P; r; o; t; e; o; b; a; c; t; e; r; i; a; ;; c; _; _; G; a; m; m; a; p; r; o; t; e; o; b; a; c; t; e; r; i; a; ;; o; _; _; E; n; t; e; r; o; b; a; c; t; e; r; i; a; l; e; s; ;; f; _; _; E; n; t; e; r; o; b; a; c; t; e; r; i; a; c; e; a; e; ;; g; _; _; E; s; c; h; e; r; i; c; h; i; a; ;; s; _; _; c; o; l; i
eb407ae7857218ca60b7dcbaedda798b	18759.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; L; a; c; h; n; o; s; p; i; r; a; c; e; a; e; ;; g; _; _; R; u; m; i; n; o; c; o; c; c; u; s; ;; s; _; _; g; n; a; v; u; s
1d111d0630895431a16f05812883224f	13514.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; L; a; c; h; n; o; s; p; i; r; a; c; e; a; e; ;; g; _; _; R; u; m; i; n; o; c; o; c; c; u; s; ;; s; _; _; g; n; a; v; u; s
6b8891d5cff668485421026b6fa4bf7b	12660.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; L; a; c; h; n; o; s; p; i; r; a; c; e; a; e; ;; g; _; _; R; u; m; i; n; o; c; o; c; c; u; s; ;; s; _; _; g; n; a; v; u; s
3a4ad16e672a171006b1d474099b55af	10604.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; A; c; t; i; n; o; b; a; c; t; e; r; i; a; ;; c; _; _; A; c; t; i; n; o; b; a; c; t; e; r; i; a; ;; o; _; _; B; i; f; i; d; o; b; a; c; t; e; r; i; a; l; e; s; ;; f; _; _; B; i; f; i; d; o; b; a; c; t; e; r; i; a; c; e; a; e; ;; g; _; _; B; i; f; i; d; o; b; a; c; t; e; r; i; u; m; ;; s; _; _; a; d; o; l; e; s; c; e; n; t; i; s
99feb49cf28693fe421407313356b628	10509.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; C; l; o; s; t; r; i; d; i; a; c; e; a; e; ;; g; _; _; C; l; o; s; t; r; i; d; i; u; m; ;; s; _; _; t; y; r; o; b; u; t; y; r; i; c; u; m
d8a04aca35be0550519f39d294a0cdd8	8123.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; L; a; c; h; n; o; s; p; i; r; a; c; e; a; e; ;; g; _; _; C; l; o; s; t; r; i; d; i; u; m; ;; s; _; _; c; i; t; r; o; n; i; a; e
6c469cae2fc79fc2152d4091a9724849	7595.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; L; a; c; h; n; o; s; p; i; r; a; c; e; a; e; ;; g; _; _; L; a; c; h; n; o; s; p; i; r; a; ;; s; _; _; p; e; c; t; i; n; o; s; c; h; i; z; a
f63549d0f538e5099f5751042f11ee59	7039.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; F; i; r; m; i; c; u; t; e; s; ;; c; _; _; C; l; o; s; t; r; i; d; i; a; ;; o; _; _; C; l; o; s; t; r; i; d; i; a; l; e; s; ;; f; _; _; R; u; m; i; n; o; c; o; c; c; a; c; e; a; e; ;; g; _; _; S; u; b; d; o; l; i; g; r; a; n; u; l; u; m; ;; s; _; _; v; a; r; i; a; b; i; l; e
6f9a9f1f27d3c30308561e7a660dcb3a	6834.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; B; a; c; t; e; r; o; i; d; e; t; e; s; ;; c; _; _; B; a; c; t; e; r; o; i; d; i; a; ;; o; _; _; B; a; c; t; e; r; o; i; d; a; l; e; s; ;; f; _; _; P; o; r; p; h; y; r; o; m; o; n; a; d; a; c; e; a; e; ;; g; _; _; P; a; r; a; b; a; c; t; e; r; o; i; d; e; s; ;; s; _; _; g; o; r; d; o; n; i; i
a00b9c018f69cc6cd04f5cefe2fd597f	6823.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; B; a; c; t; e; r; o; i; d; e; t; e; s; ;; c; _; _; B; a; c; t; e; r; o; i; d; i; a; ;; o; _; _; B; a; c; t; e; r; o; i; d; a; l; e; s; ;; f; _; _; B; a; c; t; e; r; o; i; d; a; c; e; a; e; ;; g; _; _; B; a; c; t; e; r; o; i; d; e; s; ;; s; _; _; c; a; c; c; a; e
0ba7a8ff8e358537bf15c5633d3f48d9	6791.0	k; _; _; B; a; c; t; e; r; i; a; ;; p; _; _; P; r; o; t; e; o; b; a; c; t; e; r; i; a; ;; c; _; _; G; a; m; m; a; p; r; o; t; e; o; b; a; c; t; e; r; i; a; ;; o; _; _; E; n; t; e; r; o; b; a; c; t; e; r; i; a; l; e; s; ;; f; _; _; E; n; t; e; r; o; b; a; c; t; e; r; i; a; c; e; a; e; ;; g; _; _; T; r; a; b; u; l; s; i; e; l; l; a; ;; s; _; _; f; a; r; m; e; r; i
