Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0.00408094435076	0.00426810530269	0.0824922807503	0.0797251091777
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	0.00232715008432	0.00385836719364	9.21701460897e-05	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	0.00944350758853	0.00979956977499	0.000138255219135	0.000135414198179
Bacteria;Bacteroidetes;Other;Other	0.00070826306914	0.000819476218117	0.0	3.38535495447e-05
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales	0.0208431703204	0.0255403421313	0.000230425365224	0.000203121297268
Bacteria;Firmicutes;Bacilli;Bacillales	0.182731871838	0.199781473009	0.409051108346	0.387250753241
Bacteria;Firmicutes;Bacilli;Lactobacillales	0.0207757166948	0.0288865366886	0.0539656205355	0.0522360269474
Bacteria;Firmicutes;Bacilli;Other	0.00424957841484	0.0044388295148	0.00659016544541	0.00663529571076
Bacteria;Firmicutes;Clostridia;Clostridiales	0.00559865092749	0.00826305186602	0.00820314300198	0.00754934154846
Bacteria;Firmicutes;Other;Other	0.00114671163575	0.00167309727866	0.00465459237753	0.00494261823352
Bacteria;Other;Other;Other	0.00526138279933	0.00583876805409	0.0158071800544	0.0184163309523
Bacteria;Proteobacteria;Alphaproteobacteria;Other	0.000101180438449	0.000204869054529	0.00129038204526	0.00135414198179
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	6.74536256324e-05	6.82896848431e-05	0.000460850730448	0.000643217441349
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	0.00357504215852	0.00460955372691	0.041061800083	0.043569518264
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	0.00681281618887	0.00932154198108	0.00110604175308	0.000710924540438
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	0.00620573355818	0.00638508553283	0.000414765657404	0.000643217441349
Bacteria;Proteobacteria;Epsilonproteobacteria;Other	0.000168634064081	0.000204869054529	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	0.00242833052277	0.00314132550278	0.0287110005069	0.0310437049325
Bacteria;Proteobacteria;Gammaproteobacteria;Other	0.00468802698145	0.00471198825417	0.00322595511314	0.00450252208944
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0.718178752108	0.677467818486	0.340983455459	0.358983039372
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0.0	6.82896848431e-05	0.000783446241762	0.000473949693625
Bacteria;Proteobacteria;Other;Other	0.000404721753794	0.000478027793902	0.000553020876538	0.000609363891804
Unclassified;Other;Other;Other	0.000202360876897	0.000170724212108	0.000184340292179	0.000338535495447
