pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
blast_100.0	-0.247955949428	0.017018787363	0.0330860054063	-0.0105050752634	0.00350328278431	0.00141839291638	0.00108755063484	0.00038846333329	-6.06487924887e-05	-0.000243218728929	0.000134690390043	8.33637966659e-05	-1.31350337699e-05	-3.76740532244e-05	-7.41772722839e-06	-4.05587517951e-05	-2.15712900927e-05	-3.84011995616e-06	-6.43329138991e-06	-2.76723158283e-05	0.000141035239706	-8.60132073338e-06	3.18694136148e-05	-5.84912329273e-05	5.65297649562e-06	-3.2707282994e-06	2.29332919319e-06	8.99104173201e-09	0.0	0.0	-0
blast_0.0001	-0.247955949428	0.017018787363	0.0330860054063	-0.0105050752634	0.00350328278431	0.00141839291638	0.00108755063484	0.000388463333289	-6.06487924884e-05	-0.000243218728929	0.000134690390045	8.33637966686e-05	-1.31350337806e-05	-3.76740531808e-05	-7.41772722189e-06	-4.05587517769e-05	-2.15712901279e-05	-3.84011996988e-06	-6.43329138629e-06	-2.76723158469e-05	0.000141035239693	-8.60132074933e-06	3.18694136052e-05	-5.84912329846e-05	5.65297652376e-06	-3.27072828135e-06	2.29334848949e-06	-2.50266401522e-09	1.19246627876e-09	1.13194498688e-09	2.53520730954e-09
blast_1e-06	-0.247955949428	0.017018787363	0.0330860054063	-0.0105050752634	0.00350328278431	0.00141839291638	0.00108755063484	0.00038846333329	-6.06487924886e-05	-0.000243218728929	0.000134690390043	8.33637966786e-05	-1.31350337862e-05	-3.76740531465e-05	-7.41772721499e-06	-4.05587517414e-05	-2.15712901429e-05	-3.84011996589e-06	-6.43329138464e-06	-2.76723158676e-05	0.00014103523972	-8.6013207505e-06	3.18694136206e-05	-5.84912329976e-05	5.65297650042e-06	-3.27072830397e-06	2.29333032582e-06	-2.50265947102e-09	-3.57806593696e-09	2.26358166003e-09	-1.5835609876e-09
blast_1.0	-0.247955949428	0.017018787363	0.0330860054063	-0.0105050752634	0.00350328278431	0.00141839291638	0.00108755063484	0.00038846333329	-6.06487924884e-05	-0.000243218728929	0.000134690390043	8.33637966445e-05	-1.31350337483e-05	-3.76740533241e-05	-7.41772724523e-06	-4.05587518728e-05	-2.15712900319e-05	-3.84011994829e-06	-6.43329139622e-06	-2.76723157766e-05	0.000141035239652	-8.60132072797e-06	3.18694135886e-05	-5.8491232868e-05	5.65297649359e-06	-3.27072829368e-06	2.29333721709e-06	-2.50266119478e-09	-3.43576443664e-09	-3.02471018864e-09	-4.9731325665e-11
blast_1e-10	-0.247965163385	0.0170244837753	0.0330829718827	-0.0104922567664	0.00350015629066	0.00141285783101	0.00109657956295	0.000385689835343	-6.71896792115e-05	-0.000249233617909	0.00013767892132	8.67073413341e-05	-1.44061446017e-05	-3.81666801467e-05	-7.3292471289e-06	-4.29813662906e-05	-2.34558908403e-05	-3.82846486357e-06	-1.62628584265e-07	-3.1783995228e-05	0.000141373118355	-7.45511351861e-06	3.2988480572e-05	-5.58514692812e-05	4.16294526754e-06	-8.83166475701e-07	-9.18199401875e-06	3.70760518484e-10	-1.455357708e-09	9.27051324366e-11	2.25486278173e-10
blast_1e-30	-0.248024057673	0.0170664829046	0.0331467432033	-0.0102494529974	0.00351169738026	0.00112242097114	0.0011629537117	0.000316526118289	0.00078131646356	0.000763130036512	-0.00063174891132	-0.000422523741477	6.70245814662e-05	0.00019021328235	3.68848668016e-05	0.000207238984461	0.000110578747596	1.91112090068e-05	2.56189593842e-05	0.00014153305318	-0.000706453176735	4.20654289285e-05	-0.000160758920873	0.000290082324556	-2.68241188235e-05	1.39886498704e-05	8.67584832684e-09	3.70763517282e-10	-1.45534434522e-09	9.2704317717e-11	2.25480248025e-10
mothur_0.0	0.0326852405962	-0.0260641346464	-0.0576146709019	-0.0168947295772	0.000316666109581	0.000205681498579	-0.0128196682274	0.000142118966025	-0.000626521311463	-0.00111689475555	-0.000997422102031	-0.000166540470428	-0.000152137860916	3.12741528478e-07	0.000239896923556	6.68167863361e-08	-2.79441899006e-05	-0.000138906989463	9.44947066459e-05	-2.44588417812e-05	-0.000276057521807	0.000199567082186	0.000287313714696	-0.00030857523809	-9.33951217525e-05	0.000148959129402	4.0334469646e-08	3.7076352756e-10	-1.45534429871e-09	9.27043142518e-11	2.25480227114e-10
mothur_0.1	0.0330308024501	-0.0255229719525	-0.0571190331269	-0.016414801494	0.000119949162752	-2.16034280704e-05	-0.0123119028607	0.000248514555344	-0.00125624975992	-0.00159520070272	-0.00045277172234	-3.06721795835e-05	-6.22099743484e-05	0.000202503647582	0.000739697231281	-1.00719161946e-05	9.71943540979e-05	-0.000620425801814	-9.09712907757e-05	9.71152636363e-05	0.000119407235749	0.000141314062049	-4.70329153783e-05	7.263643234e-05	-0.000183425925413	-0.000162819732379	-2.23716100474e-08	3.70763506785e-10	-1.45534438994e-09	9.27043201155e-11	2.25480268532e-10
mothur_0.2	0.0340976781728	-0.025002194959	-0.0563075657024	-0.0154677857486	-0.000417823876505	-0.000172778197386	-0.0113450508701	0.000903367378205	-0.000864894053352	-0.00157344415059	-0.000973167776156	-5.53165707085e-05	2.99324133013e-05	0.00038096847726	0.000607285804184	2.51259096633e-05	0.000178352759514	-0.000627209734753	-0.000130308922273	4.52703618606e-05	0.000227321009958	-6.36908887033e-05	1.72083430859e-05	0.000299484520722	0.000184994047319	0.000104960190537	1.66763340333e-08	3.70763520083e-10	-1.45534433442e-09	9.27043167333e-11	2.25480242781e-10
mothur_0.3	0.0388099635386	-0.00711713521024	-0.0501144481909	-0.00978478400981	-0.00360986526791	-0.00469189284687	0.000746721929066	-0.00319172335587	-0.00162573717843	0.00129464557839	0.00402788055221	0.000459103052722	-9.99634106298e-05	-0.000164022973765	0.000976429623083	-0.000178998555063	0.000406404052097	0.000944237299516	0.000468341788239	0.000145273674918	-4.48182611347e-05	-0.0001726003333	0.00015698625662	8.10580987254e-05	8.88793753595e-06	-1.61752290855e-05	8.44594532611e-09	3.70763517173e-10	-1.45534434576e-09	9.27043174356e-11	2.25480248233e-10
