# QIIME v1.5.0 OTU table
#OTU ID	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected	taxonomy
1	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;Root;Incertae_sedis;Entomophthorales;Entomophthoraceae;Pandora;Pandora_neoaphidis
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134422152771	0	Mock.2;Root;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;Nectria_rubropeziza
3	0	0	0	0	0	0	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0	0	0	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0.103605874248	0	0	0	0	0	Mock.2;Root;Saccharomycetes;Saccharomycetales;Pichiaceae;Issatchenkia;Issatchenkia_sp_YS5
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	Mock.2;Root;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium_commune
5	0	0	0	0	0	0	0	0	0	0	0	0	0.000168027690963	0	0	0	0	0	0	0	0	0	0	0.000168027690963	0	0	0	0	0	0	Mock.2;Root;Eurotiomycetes;Eurotiales;Trichocomaceae;Aspergillus;Other
6	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0.056860570622	0	0.056860570622	0.0625	Mock.2;Root;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_burtonii
7	0	0	0	0	0	0	0.00134422152771	0.00134422152771	0.00134422152771	0.00134422152771	0.00131061598952	0.00131061598952	0.000336055381927	0.000302449843734	0.000302449843734	0.000235238767349	0.000134422152771	0.00134422152771	0.00134422152771	0.00134422152771	0.00134422152771	0.00134422152771	0.00131061598952	0.000302449843734	0.000302449843734	0.000302449843734	0.000235238767349	0.000235238767349	0	0	Mock.2;Root;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_sp_JJP_2009a
8	0	0	0	0	0	0	0	0.0868031051517	0.0871055549955	0.0871055549955	0.0871055549955	0.0870719494573	0.0877776657593	0.0875088214538	0.00117619383674	0.00036966092012	0	0	0.0868703162281	0.0871055549955	0.0871055549955	0.0870719494573	0.0870719494573	0.0879792989885	0.0876096380684	0.0875088214538	6.72110763854e-05	0	0.0820983298048	0	Mock.2;Root;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Other
9	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;Root;Microbotryomycetes;Sporidiobolales;Incertae_sedis;Sporobolomyces;Sporobolomyces_lophatheri
10	0	0	0	0	0	0	0.000100816614578	0.000100816614578	0	0	0	0	0	0	0	0	0	0.000100816614578	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;Root;Sordariomycetes;Hypocreales;Incertae_sedis;Stilbella;Stilbella_aciculosa
11	0.000134422152771	0.000134422152771	0.000134422152771	0.000134422152771	0.000134422152771	0.000134422152771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;Root;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_sp_ela1
12	0	0	0	0	0	0	0	6.72110763854e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;Root;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Other;Other
