dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
F1-REF	3	1	blast	1000	No blast hit	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	misclassification	0	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;s__Scopulariopsis_candida	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Xanthocarpia;s__Xanthocarpia_marmorata	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_sp	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	No blast hit	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Pyrenulales	misclassification	0	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora_sp	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	No blast hit	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales	misclassification	0	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_sp	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales	misclassification	2	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Cordyceps;s__Cordyceps_polyarthra	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Verrucaria;s__Verrucaria_dolosa	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Phlogicylindrium;s__Phlogicylindrium_sp	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Physciaceae;g__Physcia;s__Physcia_dimidiata_var._ornata	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales	misclassification	2	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Basidiomycota;c__Ustilaginomycotina_cls_Incertae_sedis;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_furfur	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales	misclassification	2	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Bondarzewiaceae;g__Amylosporus;s__Amylosporus_sp	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales	overclassification	3	0.0	0.0	0.0
F1-REF	3	1	blast	1000	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Tremella;s__Tremella_phaeographinae	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	misclassification	2	0.0	0.0	0.0
