Taxon	MockHiSeq.even
k__Bacteria;Other;Other	0.000507329645047
k__Bacteria;p__Actinobacteria;Other	5.07329645047e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0405077355088
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.00076099446757
k__Bacteria;p__Bacteroidetes;Other	4.05863716037e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.345298703012
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	1.52198893514e-05
k__Bacteria;p__Firmicutes;Other	5.07329645047e-05
k__Bacteria;p__Firmicutes;c__Bacilli	0.0912635298475
k__Bacteria;p__Firmicutes;c__Clostridia	0.374632503088
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00386585189526
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	5.07329645047e-06
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.000172492079316
k__Bacteria;p__Proteobacteria;Other	0.000116685818361
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	4.56596680542e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.123717407241
k__Bacteria;p__Tenericutes;c__Mollicutes	1.26832411262e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0189817386694
