#Sample	OTU	Abundance
blast_100.0	1	0.00104004160166
blast_100.0	2	0.00104004160166
blast_100.0	3	0.068122724909
blast_100.0	4	0.0166406656266
blast_100.0	6	0.000520020800832
blast_100.0	9	0.0239209568383
blast_100.0	11	0.00884035361414
blast_100.0	12	0.0015600624025
blast_100.0	13	0.0270410816433
blast_100.0	15	0.101404056162
blast_100.0	20	0.0015600624025
blast_100.0	24	0.0104004160166
blast_100.0	25	0.0114404576183
blast_100.0	27	0.626105044202
blast_100.0	29	0.0499219968799
blast_100.0	32	0.00260010400416
blast_100.0	39	0.000520020800832
blast_100.0	42	0.0473218928757
blast_100.0	48	0.00293255131965
blast_100.0	49	0.0505865102639
blast_100.0	55	0.0175953079179
blast_100.0	57	0.0469208211144
blast_100.0	58	0.00439882697947
blast_100.0	59	0.00146627565982
blast_100.0	61	0.0124633431085
blast_100.0	63	0.000733137829912
blast_100.0	70	0.0769794721408
blast_100.0	73	0.744868035191
blast_100.0	75	0.0293255131965
blast_100.0	85	0.00879765395894
blast_100.0	88	0.00219941348974
blast_100.0	91	0.000733137829912
blast_100.0	94	0.00123915737299
blast_100.0	95	0.0762081784387
blast_100.0	96	0.000619578686493
blast_100.0	98	0.00185873605948
blast_100.0	101	0.0105328376704
blast_100.0	103	0.043990086741
blast_100.0	104	0.00185873605948
blast_100.0	105	0.00309789343247
blast_100.0	107	0.00309789343247
blast_100.0	116	0.0830235439901
blast_100.0	117	0.000619578686493
blast_100.0	119	0.721809169765
blast_100.0	121	0.0402726146221
blast_100.0	131	0.0092936802974
blast_100.0	134	0.00247831474597
blast_100.0	139	0.000847218299915
blast_100.0	140	0.000564812199944
blast_100.0	141	0.0646709968935
blast_100.0	142	0.0183563964982
blast_100.0	144	0.000564812199944
blast_100.0	147	0.0192036147981
blast_100.0	149	0.00677774639932
blast_100.0	150	0.00141203049986
blast_100.0	151	0.0225924879977
blast_100.0	153	0.0963004800904
blast_100.0	155	0.000282406099972
blast_100.0	158	0.000282406099972
blast_100.0	162	0.00818977689918
blast_100.0	163	0.0124258683988
blast_100.0	165	0.654334933635
blast_100.0	167	0.0429257271957
blast_100.0	170	0.00367127929963
blast_100.0	177	0.000564812199944
blast_100.0	179	0.000564812199944
blast_100.0	180	0.0451849759955
blast_100.0	183	0.000282406099972
blast_0.0001	1	0.00104004160166
blast_0.0001	2	0.00104004160166
