Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1
k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales	0.0	0.0	6.50834043827e-07	8.75518744856e-07
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	0.0	7.39550885538e-07	7.81000852593e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0650001644877	0.0050422579376	0.0646245663818	0.00470416221611
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales	0.0	2.21865265661e-06	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales	0.0	0.0	5.85750639444e-06	0.0
k__Bacteria;p__;c__;o__	1.530117689e-06	0.0	0.0	0.0
k__Bacteria;p__AD3;c__;o__	7.65058844501e-07	0.0	6.50834043827e-07	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	5.58492956486e-05	0.0122144224255	6.7686740558e-05	0.0113467229333
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.0	2.29260774517e-05	8.52592597414e-05	1.40082999177e-05
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__	0.0	0.0	6.50834043827e-07	8.75518744856e-07
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.000265475419042	0.0396377088122	0.000250571106873	0.0371447582693
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	1.75103748971e-06
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	0.0	1.95250213148e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.674919611442	0.51497442633	0.691080970263	0.506185539932
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	0.00119808215049	0.00134228485725	0.000859100937852	0.00122134864907
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0909670267289	0.061580923137	0.0870744358896	0.0628202209809
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0175221427156	0.0253680744757	0.0169620368502	0.0236591430423
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	2.2951765335e-06	7.39550885538e-07	1.30166808765e-06	0.0
k__Bacteria;p__OP9;c__OPB46;o__	0.0	7.39550885538e-07	6.50834043827e-07	0.0
k__Bacteria;p__OctSpA1-106;c__;o__	0.0	8.13505974092e-06	0.0	2.62655623457e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	3.3662589158e-05	6.65595796984e-06	3.64467064543e-05	1.13817436831e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.069795553325	0.0089951574208	0.0663772624618	0.00995727468525
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	3.060235378e-06	2.21865265661e-06	1.30166808765e-06	4.37759372428e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.00124398568116	0.0199804462746	0.0012281238407	0.0183062214362
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	2.2951765335e-06	2.95820354215e-06	2.60333617531e-06	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	0.0	7.39550885538e-07	0.0	8.75518744856e-07
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.00140617815619	0.0246107743689	0.00140970653893	0.0239778318654
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__	3.82529422251e-06	4.43730531323e-06	4.55583830679e-06	3.50207497943e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales	1.45361180455e-05	1.10932632831e-05	7.81000852593e-06	4.37759372428e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	1.3771059201e-05	2.44051792228e-05	1.36675149204e-05	1.2257262428e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	5.35541191151e-06	8.87461062646e-06	1.30166808765e-06	7.00414995885e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.0489882479311	0.0077882103756	0.0431815371398	0.00705055245233
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	6.12047075601e-06	7.39550885538e-07	5.85750639444e-06	1.75103748971e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	0.0	3.90500426296e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0279475995896	0.206665276311	0.0261003976596	0.233813409445
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	2.2951765335e-06	0.0	1.30166808765e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	3.2132471469e-05	1.18328141686e-05	3.97008766735e-05	4.37759372428e-06
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	0.000568438721464	0.0716905837423	0.000560368111735	0.0597427725928
