DQ530224	Root;Ascomycota;Dothideomycetes
AF116177	Root;Ascomycota;Lecanoromycetes
AB260936	Root;Basidiomycota;Tremellomycetes
DQ831010	Root;Basidiomycota;Mixiomycetes
EF081374	Root;Ascomycota;Arthoniomycetes
AF444634	Root;Basidiomycota;Agaricostilbomycetes
EF445991	Root;Ascomycota;Orbiliomycetes
FJ195752	Root;Basidiomycota;Dacrymycetes
FJ171861	Root;Ascomycota;Neolectomycetes
DQ645527	Root;Basidiomycota;Entorrhizomycetes
JF836021	Root;Ascomycota;Archaeorhizomycetes
JN882326	Root;Chytridiomycota;Monoblepharidomycetes
