# Constructed from biom file
#OTU ID	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	taxonomy
47ad35356a9bfec68416d32e4f039021	5758.0	11290.0	4936.0	6082.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__haemolyticus
c4269a6e9bd66eca53e710c9f9d9ad4f	252.0	281.0	1015.0	986.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__agalactiae
7a8d29c59b803baaed9cc1f04ce0dc33	831.0	1426.0	64.0	52.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__guillouiae
86adb6193435090318cf24df07770d07	926.0	1043.0	0.0	0.0	k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__aquatilis
bc23d2ee539bf2f52faf789289af7879	368.0	684.0	193.0	198.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__aeruginosa
e25836661b81c9cc3aa99c8b2c7ca14d	88.0	151.0	483.0	626.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__sphaeroides
74c5523929f4d53f7928f15bc7751994	314.0	537.0	154.0	287.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__butyricum
04195686f2b70585790ec75320de0d6f	91.0	163.0	422.0	451.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli
aebf2a74a3aa9e5876c479b1db88985f	228.0	546.0	116.0	122.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__agalactiae
5642c43966bbd7f41c2f0cbe988205ff	335.0	599.0	13.0	11.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__ivanovii
29f6e97a2ed3b8abe26bb45acba8451f	277.0	620.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__infantis
92e3a73c9006d7a85d3112558daf2576	335.0	541.0	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__guillouiae
075614efc7d3dd61cd64a4e5f17078ae	188.0	362.0	86.0	86.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__cereus
dcb7b288381ec22163253cc31ca4bb57	237.0	410.0	10.0	16.0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__cinerea
9ac5fec396208e598ab2e2d26985d0df	184.0	390.0	0.0	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__hyovaginalis
94b000e59b7ac160b0416c9ab45ff0bf	149.0	262.0	0.0	8.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__haemoperoxidus
1c86153e1b13ab5322c96f2602b73513	19.0	39.0	143.0	203.0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus
b3fef1e26b7b6ac20847ede4da68547a	74.0	79.0	0.0	2.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__iners
4e9b3c8dd9808d6a78936ceaf96dc0d5	50.0	100.0	3.0	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__pylori
d9e724faff24eeeb7ac7fcc5cc7885b6	0.0	0.0	43.0	0.0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus
d8505780c03879a277eb71fe2c852192	0.0	0.0	40.0	0.0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus
ac5402de1ddf427ab8d2b0a8a0a44f19	0.0	30.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
194be3a565245d51b6d1182d4d8c7e5b	21.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
33b601a7a8295e7a6c8f413504129220	0.0	6.0	0.0	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
b7269ca8dbd01fc77b163d64ff1caf90	0.0	3.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__lugdunensis
