Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2
Unclassified;Other;Other;Other;Other;Other	2.76585387441e-06	1.59634937702e-05	1.82275685899e-05	2.69242781601e-06
k__Archaea;p__Euryarchaeota;Other;Other;Other;Other	0.0	1.14024955502e-06	2.60393836999e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;Other	2.48926848697e-05	0.000303306381635	0.000381910960931	2.55780642521e-05
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.00333285391866	0.0441014320394	0.0454222329466	0.00377747622586
k__Bacteria;Other;Other;Other;Other;Other	0.00269809045449	0.00260889098188	0.00308132707115	0.00333322563622
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other	1.3829269372e-06	0.0	0.0	5.38485563202e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	2.35097579325e-05	2.28049911004e-06	8.67979456662e-07	5.51947702282e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;Other	0.000113400008851	5.70124777509e-06	8.67979456662e-07	0.000185777519305
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0122375204673	7.86772192962e-05	4.86068495731e-05	0.0137421515729
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus	4.14878081161e-06	1.14024955502e-06	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	0.000125846351286	3.42074866505e-06	7.81181510996e-06	0.00010769711264
k__Bacteria;p__Bacteroidetes;Other;Other;Other;Other	9.68048856043e-06	0.0	8.67979456662e-07	8.07728344803e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	6.91463468602e-06	0.0	8.67979456662e-07	1.75007808041e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0437696375625	0.00035461761161	0.000353267638862	0.0449352740353
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other;Other;Other	0.000307009780059	0.00116305454612	0.00131672483576	0.000383670963781
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other	0.0289902973846	0.00624172606417	0.00654282914432	0.0306115580541
k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__	0.0132857790857	0.00877650082497	0.00910597247984	0.0134540617966
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other	0.00188907819622	0.00274115993026	0.00292595874841	0.00212297933292
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus	0.0	0.0	1.73595891332e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;Other	0.000648592733549	0.000825540677833	0.000772501716429	0.000713493371243
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.460730406691	0.664339037242	0.64634611028	0.461809257644
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other	0.000123080497411	0.000135689697047	0.000131932877413	0.000160199455053
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other	9.54219586671e-05	3.42074866505e-06	1.73595891332e-06	0.000102312257008
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.00980771783865	0.000147092192597	0.000105025514256	0.0100710262458
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;Other	2.76585387441e-06	0.0	0.0	4.03864172402e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.00295669779174	0.000173317932363	0.000221334761449	0.00415576233401
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;Other	0.000110634154976	6.1573475971e-05	6.50984592497e-05	8.34652622963e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0731388569279	0.0991344365628	0.103680146098	0.0705644944159
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other	9.68048856043e-06	4.56099822007e-06	4.33989728331e-06	9.42349735604e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	2.35097579325e-05	3.19269875405e-05	2.60393836999e-05	2.96167059761e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other	5.94658582998e-05	5.13112299758e-05	4.51349317464e-05	6.19258397682e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0237821945391	0.0178608690298	0.0179376634514	0.0268556212508
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	4.14878081161e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;Other;Other;Other;Other	0.000149356109218	0.000339794367395	0.000393194693868	0.000185777519305
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other;Other	6.91463468602e-05	0.000454959572452	0.000519919694541	8.34652622963e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;Other	0.0	0.0	1.73595891332e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other;Other	1.3829269372e-06	1.02622459952e-05	1.56236302199e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia	2.76585387441e-06	1.36829946602e-05	1.73595891332e-05	2.69242781601e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium	0.0	0.0	3.47191782665e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;Other;Other	1.3829269372e-06	1.02622459952e-05	1.47556507633e-05	2.69242781601e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;Other	2.76585387441e-05	0.000231470659669	0.000242166268409	1.75007808041e-05
