Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2
Unclassified;Other;Other;Other;Other	2.76585387441e-06	1.59634937702e-05	1.82275685899e-05	2.69242781601e-06
k__Archaea;p__Euryarchaeota;Other;Other;Other	0.0	1.14024955502e-06	2.60393836999e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.00335774660353	0.0444047384211	0.0458041439075	0.00380305429011
k__Bacteria;Other;Other;Other;Other	0.00269809045449	0.00260889098188	0.00308132707115	0.00333322563622
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	1.3829269372e-06	0.0	0.0	5.38485563202e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other	2.35097579325e-05	2.28049911004e-06	8.67979456662e-07	5.51947702282e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0123509204762	8.43784670713e-05	4.94748290297e-05	0.0139279290922
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	4.14878081161e-06	1.14024955502e-06	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.000125846351286	3.42074866505e-06	7.81181510996e-06	0.00010769711264
k__Bacteria;p__Bacteroidetes;Other;Other;Other	9.68048856043e-06	0.0	8.67979456662e-07	8.07728344803e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	6.91463468602e-06	0.0	8.67979456662e-07	1.75007808041e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0437696375625	0.00035461761161	0.000353267638862	0.0449352740353
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other;Other	0.000307009780059	0.00116305454612	0.00131672483576	0.000383670963781
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	0.0289902973846	0.00624172606417	0.00654282914432	0.0306115580541
k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__	0.0132857790857	0.00877650082497	0.00910597247984	0.0134540617966
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	0.00188907819622	0.00274115993026	0.00292595874841	0.00212297933292
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.0	0.0	1.73595891332e-06	0.0
