Taxon	EUK.Mock.1
Root;Other;Other;Other;Other	0.00652863096302
Root;k__Eukaryota;Other;Other;Other	0.42358961816
Root;k__Eukaryota;p__Fungi;Other;Other	0.112661216734
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium	0.00304794874931
Root;k__Eukaryota;p__Fungi;c__Dikarya;Other	0.255068155521
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces	7.525799381e-05
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;Other	0.190111099613
Root;k__Eukaryota;p__Metazoa;Other;Other	9.40724922625e-05
Root;k__Eukaryota;p__Metazoa;c__Chordata;Other	0.00797734734386
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;Other	0.000846652430363
