Taxon	Even1	Even2	Even3
Unclassified;Other;Other;Other;Other;Other	2.09992860243e-05	0.000226104651668	0.000436868588368
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__	6.99976200809e-06	0.0	7.80122479229e-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	2.09992860243e-05	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	6.99976200809e-06	0.0	2.34036743769e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__DHVEG-1;g__	6.99976200809e-06	8.69633275648e-06	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__;g__	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;Other;Other;Other;Other;Other	0.00782573392505	0.0143576453809	0.0139641923782
k__Bacteria;p__Acidobacteria;Other;Other;Other;Other	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other;Other	0.0	0.0	1.56024495846e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;Other;Other	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	4.19985720486e-05	2.60889982694e-05	2.34036743769e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.0	8.69633275648e-06	7.80122479229e-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;Other	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__	4.19985720486e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;Other	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0.000139995240162	8.69633275648e-06	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.000279990480324	3.47853310259e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;Other;Other	1.39995240162e-05	3.47853310259e-05	2.34036743769e-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__	6.99976200809e-06	1.7392665513e-05	4.68073487538e-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0.0	1.7392665513e-05	0.0
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other	6.99976200809e-06	6.95706620518e-05	2.34036743769e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__	0.0	8.69633275648e-06	2.34036743769e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other	0.000188993574218	0.000165230322373	0.000218434294184
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	8.39971440971e-05	3.47853310259e-05	4.68073487538e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__	9.79966681133e-05	9.56596603212e-05	9.36146975075e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	6.99976200809e-06	8.69633275648e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__	0.0	8.69633275648e-06	7.80122479229e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Rhodoluna	6.99976200809e-06	0.0	7.80122479229e-06
